dataset,mode,TW,dyn_stw,speculative,csr_compress,layer,readLatency,bufferLatency,icLatency,coreLatencyADC,coreLatencyAccum,coreLatencyOther,readDynamicEnergy,bufferDynamicEnergy,icDynamicEnergy,coreEnergyADC,coreEnergyAccum,coreEnergyOther,successRate,Sparsity,Compression ratio
CIFAR10DVS,PTB,16,False,False,False,1,6.10e+07,4.93e+07,9.50e+00,3.37e+04,9.59e+06,2.13e+06,7.18e+07,1.32e+05,9.16e+01,2.73e+05,6.47e+07,6.67e+06,0,0,0
CIFAR10DVS,PTB,16,False,False,False,2,3.71e+07,4.39e+06,7.05e+02,3.37e+04,3.21e+07,5.32e+05,9.52e+08,1.24e+06,7.78e+04,2.46e+06,9.47e+08,1.67e+06,0,0,0
CIFAR10DVS,PTB,16,False,False,False,3,1.36e+07,2.20e+06,7.05e+02,1.68e+04,1.13e+07,1.33e+05,3.08e+08,3.19e+05,7.78e+04,6.15e+05,3.07e+08,4.17e+05,0,0,0
CIFAR10DVS,PTB,16,False,False,False,4,3.51e+06,5.53e+05,7.05e+02,4.21e+03,2.92e+06,3.41e+04,6.71e+07,9.02e+04,7.78e+04,1.54e+05,6.66e+07,1.04e+05,0,0,0
CIFAR10DVS,PTB,16,False,False,False,5,2.42e+05,1.47e+05,1.76e+04,6.58e+01,7.49e+04,1.52e+03,2.62e+07,2.57e+06,1.47e+07,1.71e+04,8.90e+06,1.64e+03,0,0,0
CIFAR10DVS,PTB,16,False,False,False,6,4.35e+03,2.26e+03,7.06e+01,1.29e+00,9.00e+02,1.12e+03,1.75e+04,6.13e+02,2.46e+03,2.09e+01,1.43e+04,3.87e+01,0,0,0
IMAGENET,ComPASS,0,True,False,False,1,1.94e+07,1.86e+07,2.04e+02,3.22e+03,6.46e+05,1.61e+05,2.88e+08,1.86e+06,1.11e+04,4.71e+05,2.85e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,0,True,False,False,2,1.95e+07,1.86e+07,2.04e+02,3.22e+03,6.81e+05,1.61e+05,1.62e+08,1.86e+06,1.11e+04,4.71e+05,1.60e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,0,True,False,False,3,1.95e+07,1.86e+07,2.04e+02,3.22e+03,7.30e+05,1.61e+05,3.33e+08,1.86e+06,1.11e+04,4.71e+05,3.30e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,0,True,False,False,4,1.95e+07,1.86e+07,2.04e+02,3.22e+03,6.87e+05,1.61e+05,2.26e+08,1.86e+06,1.11e+04,4.71e+05,2.23e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,0,True,False,False,5,5.55e+06,5.13e+06,3.52e+02,1.61e+03,3.45e+05,8.06e+04,1.79e+08,4.69e+05,2.04e+04,2.36e+05,1.78e+08,3.19e+05,0,0,0
IMAGENET,ComPASS,0,True,False,False,6,2.14e+07,2.01e+07,7.05e+02,6.45e+03,1.26e+06,8.06e+04,1.64e+08,9.42e+05,7.80e+04,4.71e+05,1.62e+08,3.19e+05,0,0,0
IMAGENET,ComPASS,0,True,False,False,7,2.15e+07,2.01e+07,7.05e+02,6.45e+03,1.30e+06,8.06e+04,2.96e+08,9.42e+05,7.80e+04,4.71e+05,2.94e+08,3.19e+05,0,0,0
IMAGENET,ComPASS,0,True,False,False,8,2.13e+07,2.01e+07,7.05e+02,6.45e+03,1.12e+06,8.06e+04,6.54e+07,9.42e+05,7.80e+04,4.71e+05,6.36e+07,3.19e+05,0,0,0
IMAGENET,ComPASS,0,True,False,False,9,3.14e+06,2.77e+06,1.30e+03,1.61e+03,3.29e+05,4.03e+04,1.21e+08,2.59e+05,1.49e+05,2.36e+05,1.21e+08,1.60e+05,0,0,0
IMAGENET,ComPASS,0,True,False,False,10,1.13e+07,1.01e+07,2.59e+03,6.45e+03,1.16e+06,4.03e+04,8.54e+07,5.69e+05,5.96e+05,4.71e+05,8.36e+07,1.60e+05,0,0,0
IMAGENET,ComPASS,0,True,False,False,11,1.13e+07,1.01e+07,2.59e+03,6.45e+03,1.22e+06,4.03e+04,1.93e+08,5.69e+05,5.96e+05,4.71e+05,1.92e+08,1.60e+05,0,0,0
IMAGENET,ComPASS,0,True,False,False,12,1.11e+07,1.01e+07,2.59e+03,6.45e+03,1.01e+06,4.03e+04,6.89e+07,5.69e+05,5.96e+05,4.71e+05,6.71e+07,1.60e+05,0,0,0
IMAGENET,ComPASS,0,True,False,False,13,1.75e+06,1.42e+06,4.96e+03,1.61e+03,3.05e+05,2.02e+04,8.76e+07,3.20e+05,1.16e+06,2.36e+05,8.58e+07,7.98e+04,0,0,0
IMAGENET,ComPASS,0,True,False,False,14,3.09e+06,2.59e+06,9.93e+03,3.22e+03,4.69e+05,2.02e+04,5.34e+07,1.05e+06,4.66e+06,4.71e+05,4.72e+07,7.98e+04,0,0,0
IMAGENET,ComPASS,0,True,False,False,15,3.22e+06,2.59e+06,9.93e+03,3.22e+03,5.93e+05,2.02e+04,8.12e+07,1.05e+06,4.66e+06,4.71e+05,7.50e+07,7.98e+04,0,0,0
IMAGENET,ComPASS,0,True,False,False,16,1.43e+06,8.97e+05,9.93e+03,3.22e+03,4.97e+05,2.24e+04,7.60e+07,8.72e+05,4.66e+06,4.71e+05,6.99e+07,7.98e+04,0,0,0
DVS128GestureSimplify,ComPASS,0,True,True,False,1,5.22e+07,4.93e+07,9.50e+00,3.37e+04,7.19e+05,2.13e+06,2.36e+07,1.32e+05,9.18e+01,2.73e+05,1.65e+07,6.67e+06,0.81,0,0
DVS128GestureSimplify,ComPASS,0,True,True,False,2,6.82e+06,4.39e+06,7.05e+02,3.37e+04,1.87e+06,5.32e+05,2.67e+08,1.24e+06,7.80e+04,2.46e+06,2.61e+08,1.67e+06,0.87,0,0
DVS128GestureSimplify,ComPASS,0,True,True,False,3,2.98e+06,2.20e+06,7.05e+02,1.68e+04,6.32e+05,1.33e+05,4.24e+07,3.19e+05,7.80e+04,6.15e+05,4.09e+07,4.17e+05,0.92,0,0
DVS128GestureSimplify,ComPASS,0,True,True,False,4,8.93e+05,5.53e+05,7.05e+02,4.21e+03,3.01e+05,3.41e+04,1.55e+07,9.02e+04,7.80e+04,1.54e+05,1.51e+07,1.04e+05,0.76,0,0
DVS128GestureSimplify,ComPASS,0,True,True,False,5,1.82e+05,1.47e+05,1.76e+04,6.58e+01,1.48e+04,1.52e+03,2.38e+07,2.57e+06,1.47e+07,1.71e+04,6.47e+06,1.64e+03,0.51,0,0
DVS128GestureSimplify,ComPASS,0,True,True,False,6,3.63e+03,2.29e+03,7.26e+01,1.41e+00,1.49e+02,1.12e+03,7.12e+03,6.32e+02,2.57e+03,2.29e+01,3.85e+03,4.28e+01,0.91,0,0
IMAGENET,ComPASS,48,False,False,False,1,1.92e+07,1.86e+07,2.04e+02,3.22e+03,4.32e+05,1.61e+05,1.80e+08,1.86e+06,1.11e+04,4.71e+05,1.74e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,48,False,False,False,2,1.95e+07,1.86e+07,2.04e+02,3.22e+03,6.62e+05,1.61e+05,1.64e+08,1.86e+06,1.11e+04,4.71e+05,1.59e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,48,False,False,False,3,1.93e+07,1.86e+07,2.04e+02,3.22e+03,5.33e+05,1.61e+05,2.32e+08,1.86e+06,1.11e+04,4.71e+05,2.26e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,48,False,False,False,4,1.95e+07,1.86e+07,2.04e+02,3.22e+03,6.73e+05,1.61e+05,2.30e+08,1.86e+06,1.11e+04,4.71e+05,2.25e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,48,False,False,False,5,5.41e+06,5.13e+06,3.52e+02,1.61e+03,2.00e+05,8.06e+04,9.68e+07,4.69e+05,2.04e+04,2.36e+05,9.51e+07,3.19e+05,0,0,0
IMAGENET,ComPASS,48,False,False,False,6,2.12e+07,2.01e+07,7.05e+02,6.45e+03,1.02e+06,8.06e+04,1.40e+08,9.42e+05,7.80e+04,4.71e+05,1.37e+08,3.19e+05,0,0,0
IMAGENET,ComPASS,48,False,False,False,7,2.06e+07,2.01e+07,7.05e+02,6.45e+03,4.10e+05,8.06e+04,9.39e+07,9.42e+05,7.80e+04,4.71e+05,9.09e+07,3.19e+05,0,0,0
IMAGENET,ComPASS,48,False,False,False,8,2.09e+07,2.01e+07,7.05e+02,6.45e+03,7.67e+05,8.06e+04,5.16e+07,9.42e+05,7.80e+04,4.71e+05,4.86e+07,3.19e+05,0,0,0
IMAGENET,ComPASS,48,False,False,False,9,2.94e+06,2.77e+06,1.30e+03,1.61e+03,1.24e+05,4.03e+04,4.41e+07,2.59e+05,1.49e+05,2.36e+05,4.27e+07,1.60e+05,0,0,0
IMAGENET,ComPASS,48,False,False,False,10,1.09e+07,1.01e+07,2.59e+03,6.45e+03,7.80e+05,4.03e+04,5.85e+07,5.69e+05,5.96e+05,4.71e+05,5.55e+07,1.60e+05,0,0,0
IMAGENET,ComPASS,48,False,False,False,11,1.06e+07,1.01e+07,2.59e+03,6.45e+03,4.52e+05,4.03e+04,7.55e+07,5.69e+05,5.96e+05,4.71e+05,7.24e+07,1.60e+05,0,0,0
IMAGENET,ComPASS,48,False,False,False,12,1.08e+07,1.01e+07,2.59e+03,6.45e+03,6.55e+05,4.03e+04,4.89e+07,5.69e+05,5.96e+05,4.71e+05,4.59e+07,1.60e+05,0,0,0
IMAGENET,ComPASS,48,False,False,False,13,1.55e+06,1.42e+06,4.96e+03,1.61e+03,1.07e+05,2.02e+04,3.01e+07,3.20e+05,1.16e+06,2.36e+05,2.77e+07,7.98e+04,0,0,0
IMAGENET,ComPASS,48,False,False,False,14,2.81e+06,2.59e+06,9.93e+03,3.22e+03,1.86e+05,2.02e+04,2.92e+07,1.05e+06,4.66e+06,4.71e+05,2.17e+07,7.98e+04,0,0,0
IMAGENET,ComPASS,48,False,False,False,15,2.86e+06,2.59e+06,9.93e+03,3.22e+03,2.39e+05,2.02e+04,4.03e+07,1.05e+06,4.66e+06,4.71e+05,3.28e+07,7.98e+04,0,0,0
IMAGENET,ComPASS,48,False,False,False,16,1.29e+06,8.97e+05,9.93e+03,3.22e+03,3.53e+05,2.24e+04,6.05e+07,8.72e+05,4.66e+06,4.71e+05,5.32e+07,7.98e+04,0,0,0
IMAGENET,ComPASS,8,False,False,False,1,1.93e+07,1.86e+07,2.04e+02,3.22e+03,5.01e+05,1.61e+05,2.23e+08,1.86e+06,1.11e+04,4.71e+05,2.18e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,8,False,False,False,2,1.96e+07,1.86e+07,2.04e+02,3.22e+03,7.71e+05,1.61e+05,1.90e+08,1.86e+06,1.11e+04,4.71e+05,1.85e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,8,False,False,False,3,1.94e+07,1.86e+07,2.04e+02,3.22e+03,6.04e+05,1.61e+05,2.73e+08,1.86e+06,1.11e+04,4.71e+05,2.68e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,8,False,False,False,4,1.95e+07,1.86e+07,2.04e+02,3.22e+03,7.24e+05,1.61e+05,2.60e+08,1.86e+06,1.11e+04,4.71e+05,2.54e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,8,False,False,False,5,5.44e+06,5.13e+06,3.52e+02,1.61e+03,2.31e+05,8.06e+04,1.15e+08,4.69e+05,2.04e+04,2.36e+05,1.14e+08,3.19e+05,0,0,0
IMAGENET,ComPASS,8,False,False,False,6,2.14e+07,2.01e+07,7.05e+02,6.45e+03,1.21e+06,8.06e+04,1.59e+08,9.42e+05,7.80e+04,4.71e+05,1.56e+08,3.19e+05,0,0,0
IMAGENET,ComPASS,8,False,False,False,7,2.08e+07,2.01e+07,7.05e+02,6.45e+03,6.34e+05,8.06e+04,1.35e+08,9.42e+05,7.80e+04,4.71e+05,1.32e+08,3.19e+05,0,0,0
IMAGENET,ComPASS,8,False,False,False,8,2.10e+07,2.01e+07,7.05e+02,6.45e+03,8.24e+05,8.06e+04,5.92e+07,9.42e+05,7.80e+04,4.71e+05,5.61e+07,3.19e+05,0,0,0
IMAGENET,ComPASS,8,False,False,False,9,2.99e+06,2.77e+06,1.30e+03,1.61e+03,1.78e+05,4.03e+04,6.17e+07,2.59e+05,1.49e+05,2.36e+05,6.03e+07,1.60e+05,0,0,0
IMAGENET,ComPASS,8,False,False,False,10,1.09e+07,1.01e+07,2.59e+03,6.45e+03,8.20e+05,4.03e+04,6.63e+07,5.69e+05,5.96e+05,4.71e+05,6.32e+07,1.60e+05,0,0,0
IMAGENET,ComPASS,8,False,False,False,11,1.07e+07,1.01e+07,2.59e+03,6.45e+03,5.81e+05,4.03e+04,9.21e+07,5.69e+05,5.96e+05,4.71e+05,8.91e+07,1.60e+05,0,0,0
IMAGENET,ComPASS,8,False,False,False,12,1.08e+07,1.01e+07,2.59e+03,6.45e+03,6.76e+05,4.03e+04,5.45e+07,5.69e+05,5.96e+05,4.71e+05,5.15e+07,1.60e+05,0,0,0
IMAGENET,ComPASS,8,False,False,False,13,1.60e+06,1.42e+06,4.96e+03,1.61e+03,1.55e+05,2.02e+04,4.14e+07,3.20e+05,1.16e+06,2.36e+05,3.90e+07,7.98e+04,0,0,0
IMAGENET,ComPASS,8,False,False,False,14,2.86e+06,2.59e+06,9.93e+03,3.22e+03,2.38e+05,2.02e+04,3.55e+07,1.05e+06,4.66e+06,4.71e+05,2.80e+07,7.98e+04,0,0,0
IMAGENET,ComPASS,8,False,False,False,15,2.94e+06,2.59e+06,9.93e+03,3.22e+03,3.17e+05,2.02e+04,5.18e+07,1.05e+06,4.66e+06,4.71e+05,4.43e+07,7.98e+04,0,0,0
IMAGENET,ComPASS,8,False,False,False,16,1.23e+06,8.97e+05,9.93e+03,3.22e+03,3.00e+05,2.24e+04,5.69e+07,8.72e+05,4.66e+06,4.71e+05,4.95e+07,7.98e+04,0,0,0
IMAGENET,PTB,24,False,False,False,1,2.86e+07,1.86e+07,2.04e+02,3.22e+03,9.78e+06,1.61e+05,2.86e+08,1.86e+06,1.10e+04,4.71e+05,2.83e+08,6.39e+05,0,0,0
IMAGENET,PTB,24,False,False,False,2,2.21e+07,1.86e+07,2.04e+02,3.22e+03,3.30e+06,1.61e+05,1.60e+08,1.86e+06,1.10e+04,4.71e+05,1.57e+08,6.39e+05,0,0,0
IMAGENET,PTB,24,False,False,False,3,2.73e+07,1.86e+07,2.04e+02,3.22e+03,8.48e+06,1.61e+05,3.30e+08,1.86e+06,1.10e+04,4.71e+05,3.27e+08,6.39e+05,0,0,0
IMAGENET,PTB,24,False,False,False,4,2.13e+07,1.86e+07,2.04e+02,3.22e+03,2.55e+06,1.61e+05,2.24e+08,1.86e+06,1.10e+04,4.71e+05,2.21e+08,6.39e+05,0,0,0
IMAGENET,PTB,24,False,False,False,5,8.39e+06,5.13e+06,3.52e+02,1.61e+03,3.19e+06,8.06e+04,1.79e+08,4.69e+05,2.04e+04,2.36e+05,1.78e+08,3.19e+05,0,0,0
IMAGENET,PTB,24,False,False,False,6,2.69e+07,2.01e+07,7.05e+02,6.45e+03,6.76e+06,8.06e+04,1.63e+08,9.42e+05,7.78e+04,4.71e+05,1.61e+08,3.19e+05,0,0,0
IMAGENET,PTB,24,False,False,False,7,3.15e+07,2.01e+07,7.05e+02,6.45e+03,1.13e+07,8.06e+04,2.94e+08,9.42e+05,7.78e+04,4.71e+05,2.93e+08,3.19e+05,0,0,0
IMAGENET,PTB,24,False,False,False,8,2.44e+07,2.01e+07,7.05e+02,6.45e+03,4.28e+06,8.06e+04,6.42e+07,9.42e+05,7.78e+04,4.71e+05,6.23e+07,3.19e+05,0,0,0
IMAGENET,PTB,24,False,False,False,9,5.74e+06,2.77e+06,1.30e+03,1.61e+03,2.93e+06,4.03e+04,1.21e+08,2.59e+05,1.49e+05,2.36e+05,1.20e+08,1.60e+05,0,0,0
IMAGENET,PTB,24,False,False,False,10,1.47e+07,1.01e+07,2.59e+03,6.45e+03,4.55e+06,4.03e+04,8.42e+07,5.69e+05,5.95e+05,4.71e+05,8.24e+07,1.60e+05,0,0,0
IMAGENET,PTB,24,False,False,False,11,1.73e+07,1.01e+07,2.59e+03,6.45e+03,7.23e+06,4.03e+04,1.92e+08,5.69e+05,5.95e+05,4.71e+05,1.90e+08,1.60e+05,0,0,0
IMAGENET,PTB,24,False,False,False,12,1.32e+07,1.01e+07,2.59e+03,6.45e+03,3.05e+06,4.03e+04,6.76e+07,5.69e+05,5.95e+05,4.71e+05,6.58e+07,1.60e+05,0,0,0
IMAGENET,PTB,24,False,False,False,13,2.93e+06,1.42e+06,4.96e+03,1.61e+03,1.48e+06,2.02e+04,8.70e+07,3.20e+05,1.16e+06,2.36e+05,8.52e+07,7.98e+04,0,0,0
IMAGENET,PTB,24,False,False,False,14,3.87e+06,2.59e+06,9.93e+03,3.22e+03,1.25e+06,2.02e+04,5.22e+07,1.05e+06,4.65e+06,4.71e+05,4.59e+07,7.98e+04,0,0,0
IMAGENET,PTB,24,False,False,False,15,5.18e+06,2.59e+06,9.93e+03,3.22e+03,2.56e+06,2.02e+04,7.99e+07,1.05e+06,4.65e+06,4.71e+05,7.37e+07,7.98e+04,0,0,0
IMAGENET,PTB,24,False,False,False,16,2.40e+06,8.97e+05,9.93e+03,3.22e+03,1.46e+06,2.24e+04,7.47e+07,8.72e+05,4.65e+06,4.71e+05,6.87e+07,7.98e+04,0,0,0
CIFAR10DVS,PTB,32,False,False,False,1,7.05e+07,4.93e+07,9.50e+00,3.37e+04,1.91e+07,2.13e+06,7.18e+07,1.32e+05,9.16e+01,2.73e+05,6.47e+07,6.67e+06,0,0,0
CIFAR10DVS,PTB,32,False,False,False,2,6.88e+07,4.39e+06,7.05e+02,3.37e+04,6.38e+07,5.32e+05,9.52e+08,1.24e+06,7.78e+04,2.46e+06,9.47e+08,1.67e+06,0,0,0
CIFAR10DVS,PTB,32,False,False,False,3,2.48e+07,2.20e+06,7.05e+02,1.68e+04,2.24e+07,1.33e+05,3.08e+08,3.19e+05,7.78e+04,6.15e+05,3.07e+08,4.17e+05,0,0,0
CIFAR10DVS,PTB,32,False,False,False,4,6.40e+06,5.53e+05,7.05e+02,4.21e+03,5.81e+06,3.41e+04,6.71e+07,9.02e+04,7.78e+04,1.54e+05,6.66e+07,1.04e+05,0,0,0
CIFAR10DVS,PTB,32,False,False,False,5,3.10e+05,1.47e+05,1.76e+04,6.58e+01,1.43e+05,1.52e+03,2.62e+07,2.57e+06,1.47e+07,1.71e+04,8.90e+06,1.64e+03,0,0,0
CIFAR10DVS,PTB,32,False,False,False,6,5.14e+03,2.26e+03,7.06e+01,1.29e+00,1.69e+03,1.12e+03,1.75e+04,6.13e+02,2.46e+03,2.09e+01,1.43e+04,3.87e+01,0,0,0
IMAGENET,ComPASS,1,False,False,False,1,1.94e+07,1.86e+07,2.04e+02,3.22e+03,6.46e+05,1.61e+05,2.86e+08,1.86e+06,1.11e+04,4.71e+05,2.83e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,1,False,False,False,2,1.95e+07,1.86e+07,2.04e+02,3.22e+03,6.81e+05,1.61e+05,1.60e+08,1.86e+06,1.11e+04,4.71e+05,1.57e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,1,False,False,False,3,1.95e+07,1.86e+07,2.04e+02,3.22e+03,7.30e+05,1.61e+05,3.30e+08,1.86e+06,1.11e+04,4.71e+05,3.27e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,1,False,False,False,4,1.95e+07,1.86e+07,2.04e+02,3.22e+03,6.87e+05,1.61e+05,2.24e+08,1.86e+06,1.11e+04,4.71e+05,2.21e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,1,False,False,False,5,5.55e+06,5.13e+06,3.52e+02,1.61e+03,3.45e+05,8.06e+04,1.79e+08,4.69e+05,2.04e+04,2.36e+05,1.78e+08,3.19e+05,0,0,0
IMAGENET,ComPASS,1,False,False,False,6,2.14e+07,2.01e+07,7.05e+02,6.45e+03,1.26e+06,8.06e+04,1.63e+08,9.42e+05,7.80e+04,4.71e+05,1.61e+08,3.19e+05,0,0,0
IMAGENET,ComPASS,1,False,False,False,7,2.15e+07,2.01e+07,7.05e+02,6.45e+03,1.30e+06,8.06e+04,2.94e+08,9.42e+05,7.80e+04,4.71e+05,2.93e+08,3.19e+05,0,0,0
IMAGENET,ComPASS,1,False,False,False,8,2.13e+07,2.01e+07,7.05e+02,6.45e+03,1.12e+06,8.06e+04,6.42e+07,9.42e+05,7.80e+04,4.71e+05,6.23e+07,3.19e+05,0,0,0
IMAGENET,ComPASS,1,False,False,False,9,3.14e+06,2.77e+06,1.30e+03,1.61e+03,3.29e+05,4.03e+04,1.21e+08,2.59e+05,1.49e+05,2.36e+05,1.20e+08,1.60e+05,0,0,0
IMAGENET,ComPASS,1,False,False,False,10,1.13e+07,1.01e+07,2.59e+03,6.45e+03,1.16e+06,4.03e+04,8.42e+07,5.69e+05,5.96e+05,4.71e+05,8.24e+07,1.60e+05,0,0,0
IMAGENET,ComPASS,1,False,False,False,11,1.13e+07,1.01e+07,2.59e+03,6.45e+03,1.22e+06,4.03e+04,1.92e+08,5.69e+05,5.96e+05,4.71e+05,1.90e+08,1.60e+05,0,0,0
IMAGENET,ComPASS,1,False,False,False,12,1.11e+07,1.01e+07,2.59e+03,6.45e+03,1.01e+06,4.03e+04,6.76e+07,5.69e+05,5.96e+05,4.71e+05,6.58e+07,1.60e+05,0,0,0
IMAGENET,ComPASS,1,False,False,False,13,1.75e+06,1.42e+06,4.96e+03,1.61e+03,3.05e+05,2.02e+04,8.70e+07,3.20e+05,1.16e+06,2.36e+05,8.52e+07,7.98e+04,0,0,0
IMAGENET,ComPASS,1,False,False,False,14,3.09e+06,2.59e+06,9.93e+03,3.22e+03,4.69e+05,2.02e+04,5.22e+07,1.05e+06,4.66e+06,4.71e+05,4.59e+07,7.98e+04,0,0,0
IMAGENET,ComPASS,1,False,False,False,15,3.22e+06,2.59e+06,9.93e+03,3.22e+03,5.93e+05,2.02e+04,8.00e+07,1.05e+06,4.66e+06,4.71e+05,7.37e+07,7.98e+04,0,0,0
