dataset,mode,TW,dyn_stw,speculative,csr_compress,layer,readLatency,bufferLatency,icLatency,coreLatencyADC,coreLatencyAccum,coreLatencyOther,readDynamicEnergy,bufferDynamicEnergy,icDynamicEnergy,coreEnergyADC,coreEnergyAccum,coreEnergyOther,successRate,Sparsity,Compression ratio
IMAGENET,ComPASS,1,False,False,False,16,1.43e+06,8.97e+05,9.93e+03,3.22e+03,4.97e+05,2.24e+04,7.47e+07,8.72e+05,4.66e+06,4.71e+05,6.87e+07,7.98e+04,0,0,0
IMAGENET,ComPASS,0,True,True,True,1,1.83e+07,1.78e+07,1.95e+02,3.22e+03,3.70e+05,1.61e+05,1.62e+08,1.77e+06,1.06e+04,4.71e+05,1.59e+08,6.39e+05,0.61,0.591,0.955
IMAGENET,ComPASS,0,True,True,True,2,8.67e+06,7.96e+06,8.72e+01,3.22e+03,5.46e+05,1.61e+05,1.50e+08,7.93e+05,4.73e+03,4.71e+05,1.48e+08,6.39e+05,0.19,0.936,0.427
IMAGENET,ComPASS,0,True,True,True,3,1.91e+07,1.85e+07,2.02e+02,3.22e+03,4.89e+05,1.61e+05,2.17e+08,1.84e+06,1.10e+04,4.71e+05,2.14e+08,6.39e+05,0.51,0.703,0.991
IMAGENET,ComPASS,0,True,True,True,4,1.11e+07,1.03e+07,1.13e+02,3.22e+03,6.12e+05,1.61e+05,2.16e+08,1.03e+06,6.12e+03,4.71e+05,2.14e+08,6.39e+05,0.16,0.923,0.553
IMAGENET,ComPASS,0,True,True,True,5,5.43e+06,5.20e+06,3.58e+02,1.61e+03,1.45e+05,8.06e+04,7.45e+07,4.76e+05,2.07e+04,2.36e+05,7.34e+07,3.19e+05,0.67,0.73,1.015
IMAGENET,ComPASS,0,True,True,True,6,8.08e+06,7.22e+06,2.54e+02,6.45e+03,7.71e+05,8.06e+04,1.21e+08,3.39e+05,2.81e+04,4.71e+05,1.20e+08,3.19e+05,0.36,0.952,0.36
IMAGENET,ComPASS,0,True,True,True,7,1.57e+07,1.53e+07,5.36e+02,6.45e+03,3.50e+05,8.06e+04,8.22e+07,7.17e+05,5.93e+04,4.71e+05,8.07e+07,3.19e+05,0.86,0.845,0.761
IMAGENET,ComPASS,0,True,True,True,8,3.95e+06,3.35e+06,1.18e+02,6.45e+03,5.16e+05,8.06e+04,4.46e+07,1.57e+05,1.30e+04,4.71e+05,4.37e+07,3.19e+05,0.49,0.983,0.167
IMAGENET,ComPASS,0,True,True,True,9,1.77e+06,1.63e+06,7.61e+02,1.61e+03,1.07e+05,4.03e+04,3.93e+07,1.52e+05,8.75e+04,2.36e+05,3.88e+07,1.60e+05,0.81,0.902,0.587
IMAGENET,ComPASS,0,True,True,True,10,2.96e+06,2.22e+06,5.73e+02,6.45e+03,7.05e+05,4.03e+04,5.17e+07,1.26e+05,1.32e+05,4.71e+05,5.17e+07,1.60e+05,0.55,0.974,0.221
IMAGENET,ComPASS,0,True,True,True,11,5.52e+06,5.08e+06,1.31e+03,6.45e+03,4.06e+05,4.03e+04,6.68e+07,2.87e+05,3.01e+05,4.71e+05,6.61e+07,1.60e+05,0.82,0.929,0.505
IMAGENET,ComPASS,0,True,True,True,12,2.60e+06,1.94e+06,5.01e+02,6.45e+03,6.33e+05,4.03e+04,4.65e+07,1.10e+05,1.15e+05,4.71e+05,4.66e+07,1.60e+05,0.59,0.981,0.193
IMAGENET,ComPASS,0,True,True,True,13,7.21e+05,6.26e+05,2.19e+03,1.61e+03,9.66e+04,2.02e+04,2.52e+07,1.41e+05,5.13e+05,2.36e+05,2.55e+07,7.98e+04,0.87,0.94,0.441
IMAGENET,ComPASS,0,True,True,True,14,5.17e+05,3.91e+05,1.50e+03,3.22e+03,1.80e+05,2.02e+04,1.61e+07,1.58e+05,7.03e+05,4.71e+05,2.20e+07,7.98e+04,0.82,0.987,0.151
IMAGENET,ComPASS,0,True,True,True,15,6.96e+05,5.28e+05,2.02e+03,3.22e+03,2.16e+05,2.02e+04,2.58e+07,2.13e+05,9.50e+05,4.71e+05,3.10e+07,7.98e+04,0.80,0.975,0.204
IMAGENET,ComPASS,0,True,True,True,16,4.97e+05,2.02e+05,2.23e+03,3.22e+03,3.40e+05,2.24e+04,5.58e+07,1.96e+05,1.05e+06,4.71e+05,6.07e+07,7.98e+04,0.66,0.978,0.225
DVS128GestureSimplify,ComPASS,1,False,False,False,1,5.26e+07,4.93e+07,9.50e+00,3.37e+04,1.11e+06,2.13e+06,3.12e+07,1.32e+05,9.18e+01,2.73e+05,2.41e+07,6.67e+06,0,0,0
DVS128GestureSimplify,ComPASS,1,False,False,False,2,1.12e+07,4.39e+06,7.05e+02,3.37e+04,6.27e+06,5.32e+05,7.68e+08,1.24e+06,7.80e+04,2.46e+06,7.63e+08,1.67e+06,0,0,0
DVS128GestureSimplify,ComPASS,1,False,False,False,3,5.26e+06,2.20e+06,7.05e+02,1.68e+04,2.91e+06,1.33e+05,1.39e+08,3.19e+05,7.80e+04,6.15e+05,1.38e+08,4.17e+05,0,0,0
DVS128GestureSimplify,ComPASS,1,False,False,False,4,1.29e+06,5.53e+05,7.05e+02,4.21e+03,6.99e+05,3.41e+04,2.61e+07,9.02e+04,7.80e+04,1.54e+05,2.57e+07,1.04e+05,0,0,0
DVS128GestureSimplify,ComPASS,1,False,False,False,5,1.86e+05,1.47e+05,1.76e+04,6.58e+01,1.94e+04,1.52e+03,2.65e+07,2.57e+06,1.47e+07,1.71e+04,9.17e+06,1.64e+03,0,0,0
DVS128GestureSimplify,ComPASS,1,False,False,False,6,3.87e+03,2.29e+03,7.26e+01,1.41e+00,3.86e+02,1.12e+03,2.19e+04,6.32e+02,2.57e+03,2.29e+01,1.86e+04,4.28e+01,0,0,0
IMAGENET,ComPASS,16,False,False,False,1,1.93e+07,1.86e+07,2.04e+02,3.22e+03,4.63e+05,1.61e+05,2.01e+08,1.86e+06,1.11e+04,4.71e+05,1.95e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,16,False,False,False,2,1.95e+07,1.86e+07,2.04e+02,3.22e+03,7.16e+05,1.61e+05,1.79e+08,1.86e+06,1.11e+04,4.71e+05,1.73e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,16,False,False,False,3,1.94e+07,1.86e+07,2.04e+02,3.22e+03,5.75e+05,1.61e+05,2.56e+08,1.86e+06,1.11e+04,4.71e+05,2.51e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,16,False,False,False,4,1.95e+07,1.86e+07,2.04e+02,3.22e+03,7.11e+05,1.61e+05,2.47e+08,1.86e+06,1.11e+04,4.71e+05,2.42e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,16,False,False,False,5,5.42e+06,5.13e+06,3.52e+02,1.61e+03,2.15e+05,8.06e+04,1.06e+08,4.69e+05,2.04e+04,2.36e+05,1.05e+08,3.19e+05,0,0,0
IMAGENET,ComPASS,16,False,False,False,6,2.13e+07,2.01e+07,7.05e+02,6.45e+03,1.14e+06,8.06e+04,1.52e+08,9.42e+05,7.80e+04,4.71e+05,1.48e+08,3.19e+05,0,0,0
IMAGENET,ComPASS,16,False,False,False,7,2.07e+07,2.01e+07,7.05e+02,6.45e+03,5.25e+05,8.06e+04,1.15e+08,9.42e+05,7.80e+04,4.71e+05,1.12e+08,3.19e+05,0,0,0
IMAGENET,ComPASS,16,False,False,False,8,2.10e+07,2.01e+07,7.05e+02,6.45e+03,8.01e+05,8.06e+04,5.67e+07,9.42e+05,7.80e+04,4.71e+05,5.36e+07,3.19e+05,0,0,0
IMAGENET,ComPASS,16,False,False,False,9,2.96e+06,2.77e+06,1.30e+03,1.61e+03,1.52e+05,4.03e+04,5.36e+07,2.59e+05,1.49e+05,2.36e+05,5.22e+07,1.60e+05,0,0,0
IMAGENET,ComPASS,16,False,False,False,10,1.09e+07,1.01e+07,2.59e+03,6.45e+03,8.24e+05,4.03e+04,6.40e+07,5.69e+05,5.96e+05,4.71e+05,6.10e+07,1.60e+05,0,0,0
IMAGENET,ComPASS,16,False,False,False,11,1.06e+07,1.01e+07,2.59e+03,6.45e+03,4.87e+05,4.03e+04,8.38e+07,5.69e+05,5.96e+05,4.71e+05,8.07e+07,1.60e+05,0,0,0
IMAGENET,ComPASS,16,False,False,False,12,1.08e+07,1.01e+07,2.59e+03,6.45e+03,6.90e+05,4.03e+04,5.25e+07,5.69e+05,5.96e+05,4.71e+05,4.95e+07,1.60e+05,0,0,0
IMAGENET,ComPASS,16,False,False,False,13,1.58e+06,1.42e+06,4.96e+03,1.61e+03,1.31e+05,2.02e+04,3.60e+07,3.20e+05,1.16e+06,2.36e+05,3.36e+07,7.98e+04,0,0,0
IMAGENET,ComPASS,16,False,False,False,14,2.84e+06,2.59e+06,9.93e+03,3.22e+03,2.18e+05,2.02e+04,3.26e+07,1.05e+06,4.66e+06,4.71e+05,2.50e+07,7.98e+04,0,0,0
IMAGENET,ComPASS,16,False,False,False,15,2.90e+06,2.59e+06,9.93e+03,3.22e+03,2.73e+05,2.02e+04,4.67e+07,1.05e+06,4.66e+06,4.71e+05,3.92e+07,7.98e+04,0,0,0
IMAGENET,ComPASS,16,False,False,False,16,1.22e+06,8.97e+05,9.93e+03,3.22e+03,2.90e+05,2.24e+04,5.42e+07,8.72e+05,4.66e+06,4.71e+05,4.68e+07,7.98e+04,0,0,0
IMAGENET,PTB,48,False,False,False,1,3.82e+07,1.86e+07,2.04e+02,3.22e+03,1.94e+07,1.61e+05,2.86e+08,1.86e+06,1.10e+04,4.71e+05,2.83e+08,6.39e+05,0,0,0
IMAGENET,PTB,48,False,False,False,2,2.53e+07,1.86e+07,2.04e+02,3.22e+03,6.49e+06,1.61e+05,1.60e+08,1.86e+06,1.10e+04,4.71e+05,1.57e+08,6.39e+05,0,0,0
IMAGENET,PTB,48,False,False,False,3,3.56e+07,1.86e+07,2.04e+02,3.22e+03,1.68e+07,1.61e+05,3.30e+08,1.86e+06,1.10e+04,4.71e+05,3.27e+08,6.39e+05,0,0,0
IMAGENET,PTB,48,False,False,False,4,2.38e+07,1.86e+07,2.04e+02,3.22e+03,4.99e+06,1.61e+05,2.24e+08,1.86e+06,1.10e+04,4.71e+05,2.21e+08,6.39e+05,0,0,0
IMAGENET,PTB,48,False,False,False,5,1.15e+07,5.13e+06,3.52e+02,1.61e+03,6.33e+06,8.06e+04,1.79e+08,4.69e+05,2.04e+04,2.36e+05,1.78e+08,3.19e+05,0,0,0
IMAGENET,PTB,48,False,False,False,6,3.36e+07,2.01e+07,7.05e+02,6.45e+03,1.35e+07,8.06e+04,1.63e+08,9.42e+05,7.78e+04,4.71e+05,1.61e+08,3.19e+05,0,0,0
IMAGENET,PTB,48,False,False,False,7,4.28e+07,2.01e+07,7.05e+02,6.45e+03,2.26e+07,8.06e+04,2.94e+08,9.42e+05,7.78e+04,4.71e+05,2.93e+08,3.19e+05,0,0,0
IMAGENET,PTB,48,False,False,False,8,2.87e+07,2.01e+07,7.05e+02,6.45e+03,8.53e+06,8.06e+04,6.42e+07,9.42e+05,7.78e+04,4.71e+05,6.23e+07,3.19e+05,0,0,0
IMAGENET,PTB,48,False,False,False,9,8.64e+06,2.77e+06,1.30e+03,1.61e+03,5.83e+06,4.03e+04,1.21e+08,2.59e+05,1.49e+05,2.36e+05,1.20e+08,1.60e+05,0,0,0
IMAGENET,PTB,48,False,False,False,10,1.92e+07,1.01e+07,2.59e+03,6.45e+03,9.07e+06,4.03e+04,8.42e+07,5.69e+05,5.95e+05,4.71e+05,8.24e+07,1.60e+05,0,0,0
IMAGENET,PTB,48,False,False,False,11,2.45e+07,1.01e+07,2.59e+03,6.45e+03,1.44e+07,4.03e+04,1.92e+08,5.69e+05,5.95e+05,4.71e+05,1.90e+08,1.60e+05,0,0,0
IMAGENET,PTB,48,False,False,False,12,1.62e+07,1.01e+07,2.59e+03,6.45e+03,6.08e+06,4.03e+04,6.76e+07,5.69e+05,5.95e+05,4.71e+05,6.58e+07,1.60e+05,0,0,0
IMAGENET,PTB,48,False,False,False,13,4.40e+06,1.42e+06,4.96e+03,1.61e+03,2.96e+06,2.02e+04,8.70e+07,3.20e+05,1.16e+06,2.36e+05,8.52e+07,7.98e+04,0,0,0
IMAGENET,PTB,48,False,False,False,14,5.10e+06,2.59e+06,9.93e+03,3.22e+03,2.48e+06,2.02e+04,5.22e+07,1.05e+06,4.65e+06,4.71e+05,4.59e+07,7.98e+04,0,0,0
IMAGENET,PTB,48,False,False,False,15,7.72e+06,2.59e+06,9.93e+03,3.22e+03,5.10e+06,2.02e+04,7.99e+07,1.05e+06,4.65e+06,4.71e+05,7.37e+07,7.98e+04,0,0,0
IMAGENET,PTB,48,False,False,False,16,3.85e+06,8.97e+05,9.93e+03,3.22e+03,2.91e+06,2.24e+04,7.47e+07,8.72e+05,4.65e+06,4.71e+05,6.87e+07,7.98e+04,0,0,0
CIFAR10DVS,ComPASS,16,False,False,False,1,5.36e+07,4.93e+07,9.50e+00,3.37e+04,2.19e+06,2.13e+06,5.62e+07,1.32e+05,9.18e+01,2.73e+05,4.84e+07,6.67e+06,0,0,0
CIFAR10DVS,ComPASS,16,False,False,False,2,8.75e+06,4.39e+06,7.05e+02,3.37e+04,3.80e+06,5.32e+05,6.38e+08,1.24e+06,7.80e+04,2.46e+06,6.26e+08,1.67e+06,0,0,0
CIFAR10DVS,ComPASS,16,False,False,False,3,3.75e+06,2.20e+06,7.05e+02,1.68e+04,1.41e+06,1.33e+05,1.60e+08,3.19e+05,7.80e+04,6.15e+05,1.57e+08,4.17e+05,0,0,0
CIFAR10DVS,ComPASS,16,False,False,False,4,9.25e+05,5.53e+05,7.05e+02,4.21e+03,3.33e+05,3.41e+04,3.27e+07,9.02e+04,7.80e+04,1.54e+05,3.18e+07,1.04e+05,0,0,0
CIFAR10DVS,ComPASS,16,False,False,False,5,1.80e+05,1.47e+05,1.76e+04,6.58e+01,1.29e+04,1.52e+03,2.32e+07,2.57e+06,1.47e+07,1.71e+04,5.84e+06,1.64e+03,0,0,0
CIFAR10DVS,ComPASS,16,False,False,False,6,3.62e+03,2.26e+03,7.06e+01,1.29e+00,1.73e+02,1.12e+03,7.82e+03,6.13e+02,2.47e+03,2.09e+01,3.97e+03,3.87e+01,0,0,0
IMAGENET,PTB,1,False,False,False,1,1.93e+07,1.86e+07,2.04e+02,3.22e+03,5.08e+05,1.61e+05,2.86e+08,1.86e+06,1.10e+04,4.71e+05,2.83e+08,6.39e+05,0,0,0
IMAGENET,PTB,1,False,False,False,2,1.90e+07,1.86e+07,2.04e+02,3.22e+03,2.29e+05,1.61e+05,1.60e+08,1.86e+06,1.10e+04,4.71e+05,1.57e+08,6.39e+05,0,0,0
IMAGENET,PTB,1,False,False,False,3,1.92e+07,1.86e+07,2.04e+02,3.22e+03,4.52e+05,1.61e+05,3.30e+08,1.86e+06,1.10e+04,4.71e+05,3.27e+08,6.39e+05,0,0,0
IMAGENET,PTB,1,False,False,False,4,1.90e+07,1.86e+07,2.04e+02,3.22e+03,1.97e+05,1.61e+05,2.24e+08,1.86e+06,1.10e+04,4.71e+05,2.21e+08,6.39e+05,0,0,0
IMAGENET,PTB,1,False,False,False,5,5.37e+06,5.13e+06,3.52e+02,1.61e+03,1.59e+05,8.06e+04,1.79e+08,4.69e+05,2.04e+04,2.36e+05,1.78e+08,3.19e+05,0,0,0
IMAGENET,PTB,1,False,False,False,6,2.05e+07,2.01e+07,7.05e+02,6.45e+03,3.03e+05,8.06e+04,1.63e+08,9.42e+05,7.78e+04,4.71e+05,1.61e+08,3.19e+05,0,0,0
IMAGENET,PTB,1,False,False,False,7,2.07e+07,2.01e+07,7.05e+02,6.45e+03,5.00e+05,8.06e+04,2.94e+08,9.42e+05,7.78e+04,4.71e+05,2.93e+08,3.19e+05,0,0,0
IMAGENET,PTB,1,False,False,False,8,2.04e+07,2.01e+07,7.05e+02,6.45e+03,1.96e+05,8.06e+04,6.42e+07,9.42e+05,7.78e+04,4.71e+05,6.23e+07,3.19e+05,0,0,0
IMAGENET,PTB,1,False,False,False,9,2.95e+06,2.77e+06,1.30e+03,1.61e+03,1.33e+05,4.03e+04,1.21e+08,2.59e+05,1.49e+05,2.36e+05,1.20e+08,1.60e+05,0,0,0
IMAGENET,PTB,1,False,False,False,10,1.03e+07,1.01e+07,2.59e+03,6.45e+03,1.97e+05,4.03e+04,8.42e+07,5.69e+05,5.95e+05,4.71e+05,8.24e+07,1.60e+05,0,0,0
IMAGENET,PTB,1,False,False,False,11,1.04e+07,1.01e+07,2.59e+03,6.45e+03,3.13e+05,4.03e+04,1.92e+08,5.69e+05,5.95e+05,4.71e+05,1.90e+08,1.60e+05,0,0,0
IMAGENET,PTB,1,False,False,False,12,1.02e+07,1.01e+07,2.59e+03,6.45e+03,1.33e+05,4.03e+04,6.76e+07,5.69e+05,5.95e+05,4.71e+05,6.58e+07,1.60e+05,0,0,0
IMAGENET,PTB,1,False,False,False,13,1.51e+06,1.42e+06,4.96e+03,1.61e+03,6.67e+04,2.02e+04,8.70e+07,3.20e+05,1.16e+06,2.36e+05,8.52e+07,7.98e+04,0,0,0
IMAGENET,PTB,1,False,False,False,14,2.68e+06,2.59e+06,9.93e+03,3.22e+03,5.70e+04,2.02e+04,5.22e+07,1.05e+06,4.65e+06,4.71e+05,4.59e+07,7.98e+04,0,0,0
IMAGENET,PTB,1,False,False,False,15,2.74e+06,2.59e+06,9.93e+03,3.22e+03,1.14e+05,2.02e+04,7.99e+07,1.05e+06,4.65e+06,4.71e+05,7.37e+07,7.98e+04,0,0,0
IMAGENET,PTB,1,False,False,False,16,9.99e+05,8.97e+05,9.93e+03,3.22e+03,6.67e+04,2.24e+04,7.47e+07,8.72e+05,4.65e+06,4.71e+05,6.87e+07,7.98e+04,0,0,0
DVS128GestureSimplify,ComPASS,48,False,False,False,1,5.22e+07,4.93e+07,9.50e+00,3.37e+04,7.52e+05,2.13e+06,2.45e+07,1.32e+05,9.18e+01,2.73e+05,1.67e+07,6.67e+06,0,0,0
DVS128GestureSimplify,ComPASS,48,False,False,False,2,7.07e+06,4.39e+06,7.05e+02,3.37e+04,2.12e+06,5.32e+05,3.00e+08,1.24e+06,7.80e+04,2.46e+06,2.89e+08,1.67e+06,0,0,0
DVS128GestureSimplify,ComPASS,48,False,False,False,3,3.14e+06,2.20e+06,7.05e+02,1.68e+04,7.96e+05,1.33e+05,4.84e+07,3.19e+05,7.80e+04,6.15e+05,4.53e+07,4.17e+05,0,0,0
DVS128GestureSimplify,ComPASS,48,False,False,False,4,9.51e+05,5.53e+05,7.05e+02,4.21e+03,3.59e+05,3.41e+04,1.62e+07,9.02e+04,7.80e+04,1.54e+05,1.53e+07,1.04e+05,0,0,0
DVS128GestureSimplify,ComPASS,48,False,False,False,5,1.82e+05,1.47e+05,1.76e+04,6.58e+01,1.50e+04,1.52e+03,2.39e+07,2.57e+06,1.47e+07,1.71e+04,6.57e+06,1.64e+03,0,0,0
DVS128GestureSimplify,ComPASS,48,False,False,False,6,3.65e+03,2.29e+03,7.26e+01,1.41e+00,1.70e+02,1.12e+03,8.42e+03,6.32e+02,2.57e+03,2.29e+01,4.43e+03,4.28e+01,0,0,0
DVS128GestureSimplify,PTB,16,False,False,False,1,6.07e+07,4.93e+07,9.50e+00,3.37e+04,9.26e+06,2.13e+06,3.12e+07,1.32e+05,9.16e+01,2.73e+05,2.41e+07,6.67e+06,0,0,0
DVS128GestureSimplify,PTB,16,False,False,False,2,4.12e+07,4.39e+06,7.05e+02,3.37e+04,3.63e+07,5.32e+05,7.68e+08,1.24e+06,7.78e+04,2.46e+06,7.63e+08,1.67e+06,0,0,0
DVS128GestureSimplify,PTB,16,False,False,False,3,1.44e+07,2.20e+06,7.05e+02,1.68e+04,1.21e+07,1.33e+05,1.39e+08,3.19e+05,7.78e+04,6.15e+05,1.38e+08,4.17e+05,0,0,0
DVS128GestureSimplify,PTB,16,False,False,False,4,2.93e+06,5.53e+05,7.05e+02,4.21e+03,2.33e+06,3.41e+04,2.61e+07,9.02e+04,7.78e+04,1.54e+05,2.57e+07,1.04e+05,0,0,0
DVS128GestureSimplify,PTB,16,False,False,False,5,2.92e+05,1.47e+05,1.76e+04,6.58e+01,1.26e+05,1.52e+03,2.65e+07,2.57e+06,1.47e+07,1.71e+04,9.17e+06,1.64e+03,0,0,0
DVS128GestureSimplify,PTB,16,False,False,False,6,5.63e+03,2.29e+03,7.26e+01,1.41e+00,2.15e+03,1.12e+03,2.18e+04,6.32e+02,2.57e+03,2.29e+01,1.86e+04,4.28e+01,0,0,0
IMAGENET,PTB,100,False,False,False,1,6.06e+07,1.86e+07,2.04e+02,3.22e+03,4.18e+07,1.61e+05,2.86e+08,1.86e+06,1.10e+04,4.71e+05,2.83e+08,6.39e+05,0,0,0
IMAGENET,PTB,100,False,False,False,2,3.27e+07,1.86e+07,2.04e+02,3.22e+03,1.39e+07,1.61e+05,1.60e+08,1.86e+06,1.10e+04,4.71e+05,1.57e+08,6.39e+05,0,0,0
IMAGENET,PTB,100,False,False,False,3,5.50e+07,1.86e+07,2.04e+02,3.22e+03,3.62e+07,1.61e+05,3.30e+08,1.86e+06,1.10e+04,4.71e+05,3.27e+08,6.39e+05,0,0,0
IMAGENET,PTB,100,False,False,False,4,2.95e+07,1.86e+07,2.04e+02,3.22e+03,1.07e+07,1.61e+05,2.24e+08,1.86e+06,1.10e+04,4.71e+05,2.21e+08,6.39e+05,0,0,0
IMAGENET,PTB,100,False,False,False,5,1.89e+07,5.13e+06,3.52e+02,1.61e+03,1.37e+07,8.06e+04,1.79e+08,4.69e+05,2.04e+04,2.36e+05,1.78e+08,3.19e+05,0,0,0
IMAGENET,PTB,100,False,False,False,6,4.93e+07,2.01e+07,7.05e+02,6.45e+03,2.91e+07,8.06e+04,1.63e+08,9.42e+05,7.78e+04,4.71e+05,1.61e+08,3.19e+05,0,0,0
IMAGENET,PTB,100,False,False,False,7,6.90e+07,2.01e+07,7.05e+02,6.45e+03,4.89e+07,8.06e+04,2.94e+08,9.42e+05,7.78e+04,4.71e+05,2.93e+08,3.19e+05,0,0,0
IMAGENET,PTB,100,False,False,False,8,3.86e+07,2.01e+07,7.05e+02,6.45e+03,1.85e+07,8.06e+04,6.42e+07,9.42e+05,7.78e+04,4.71e+05,6.23e+07,3.19e+05,0,0,0
IMAGENET,PTB,100,False,False,False,9,1.54e+07,2.77e+06,1.30e+03,1.61e+03,1.26e+07,4.03e+04,1.21e+08,2.59e+05,1.49e+05,2.36e+05,1.20e+08,1.60e+05,0,0,0
