dataset,mode,TW,dyn_stw,speculative,csr_compress,layer,readLatency,bufferLatency,icLatency,coreLatencyADC,coreLatencyAccum,coreLatencyOther,readDynamicEnergy,bufferDynamicEnergy,icDynamicEnergy,coreEnergyADC,coreEnergyAccum,coreEnergyOther,successRate,Sparsity,Compression ratio
IMAGENET,PTB,100,False,False,False,10,2.97e+07,1.01e+07,2.59e+03,6.45e+03,1.96e+07,4.03e+04,8.42e+07,5.69e+05,5.95e+05,4.71e+05,8.24e+07,1.60e+05,0,0,0
IMAGENET,PTB,100,False,False,False,11,4.13e+07,1.01e+07,2.59e+03,6.45e+03,3.12e+07,4.03e+04,1.92e+08,5.69e+05,5.95e+05,4.71e+05,1.90e+08,1.60e+05,0,0,0
IMAGENET,PTB,100,False,False,False,12,2.33e+07,1.01e+07,2.59e+03,6.45e+03,1.32e+07,4.03e+04,6.76e+07,5.69e+05,5.95e+05,4.71e+05,6.58e+07,1.60e+05,0,0,0
IMAGENET,PTB,100,False,False,False,13,7.84e+06,1.42e+06,4.96e+03,1.61e+03,6.40e+06,2.02e+04,8.70e+07,3.20e+05,1.16e+06,2.36e+05,8.52e+07,7.98e+04,0,0,0
IMAGENET,PTB,100,False,False,False,14,7.97e+06,2.59e+06,9.93e+03,3.22e+03,5.35e+06,2.02e+04,5.22e+07,1.05e+06,4.65e+06,4.71e+05,4.59e+07,7.98e+04,0,0,0
IMAGENET,PTB,100,False,False,False,15,1.36e+07,2.59e+06,9.93e+03,3.22e+03,1.10e+07,2.02e+04,7.99e+07,1.05e+06,4.65e+06,4.71e+05,7.37e+07,7.98e+04,0,0,0
IMAGENET,PTB,100,False,False,False,16,7.25e+06,8.97e+05,9.93e+03,3.22e+03,6.32e+06,2.24e+04,7.47e+07,8.72e+05,4.65e+06,4.71e+05,6.87e+07,7.98e+04,0,0,0
CIFAR10DVS,ComPASS,0,True,True,False,1,5.36e+07,4.93e+07,9.50e+00,3.37e+04,2.18e+06,2.13e+06,5.51e+07,1.32e+05,9.18e+01,2.73e+05,4.80e+07,6.67e+06,0.73,0,0
CIFAR10DVS,ComPASS,0,True,True,False,2,7.81e+06,4.39e+06,7.05e+02,3.37e+04,2.85e+06,5.32e+05,5.40e+08,1.24e+06,7.80e+04,2.46e+06,5.35e+08,1.67e+06,0.69,0,0
CIFAR10DVS,ComPASS,0,True,True,False,3,3.44e+06,2.20e+06,7.05e+02,1.68e+04,1.09e+06,1.33e+05,1.28e+08,3.19e+05,7.80e+04,6.15e+05,1.26e+08,4.17e+05,0.81,0,0
CIFAR10DVS,ComPASS,0,True,True,False,4,8.34e+05,5.53e+05,7.05e+02,4.21e+03,2.41e+05,3.41e+04,2.42e+07,9.02e+04,7.80e+04,1.54e+05,2.38e+07,1.04e+05,0.85,0,0
CIFAR10DVS,ComPASS,0,True,True,False,5,1.78e+05,1.47e+05,1.76e+04,6.58e+01,1.11e+04,1.52e+03,2.20e+07,2.57e+06,1.47e+07,1.71e+04,4.69e+06,1.64e+03,0.77,0,0
CIFAR10DVS,ComPASS,0,True,True,False,6,3.57e+03,2.26e+03,7.06e+01,1.29e+00,1.21e+02,1.12e+03,4.99e+03,6.13e+02,2.47e+03,2.09e+01,1.85e+03,3.87e+01,1.00,0,0
CIFAR10DVS,ComPASS,24,False,False,False,1,5.37e+07,4.93e+07,9.50e+00,3.37e+04,2.24e+06,2.13e+06,5.70e+07,1.32e+05,9.18e+01,2.73e+05,4.92e+07,6.67e+06,0,0,0
CIFAR10DVS,ComPASS,24,False,False,False,2,8.83e+06,4.39e+06,7.05e+02,3.37e+04,3.88e+06,5.32e+05,6.37e+08,1.24e+06,7.80e+04,2.46e+06,6.25e+08,1.67e+06,0,0,0
CIFAR10DVS,ComPASS,24,False,False,False,3,3.69e+06,2.20e+06,7.05e+02,1.68e+04,1.35e+06,1.33e+05,1.51e+08,3.19e+05,7.80e+04,6.15e+05,1.48e+08,4.17e+05,0,0,0
CIFAR10DVS,ComPASS,24,False,False,False,4,9.07e+05,5.53e+05,7.05e+02,4.21e+03,3.15e+05,3.41e+04,3.04e+07,9.02e+04,7.80e+04,1.54e+05,2.95e+07,1.04e+05,0,0,0
CIFAR10DVS,ComPASS,24,False,False,False,5,1.79e+05,1.47e+05,1.76e+04,6.58e+01,1.26e+04,1.52e+03,2.29e+07,2.57e+06,1.47e+07,1.71e+04,5.50e+06,1.64e+03,0,0,0
CIFAR10DVS,ComPASS,24,False,False,False,6,3.61e+03,2.26e+03,7.06e+01,1.29e+00,1.62e+02,1.12e+03,7.04e+03,6.13e+02,2.47e+03,2.09e+01,3.19e+03,3.87e+01,0,0,0
DVS128GestureSimplify,PTB,24,False,False,False,1,6.53e+07,4.93e+07,9.50e+00,3.37e+04,1.38e+07,2.13e+06,3.12e+07,1.32e+05,9.16e+01,2.73e+05,2.41e+07,6.67e+06,0,0,0
DVS128GestureSimplify,PTB,24,False,False,False,2,5.91e+07,4.39e+06,7.05e+02,3.37e+04,5.41e+07,5.32e+05,7.68e+08,1.24e+06,7.78e+04,2.46e+06,7.63e+08,1.67e+06,0,0,0
DVS128GestureSimplify,PTB,24,False,False,False,3,2.04e+07,2.20e+06,7.05e+02,1.68e+04,1.80e+07,1.33e+05,1.39e+08,3.19e+05,7.78e+04,6.15e+05,1.38e+08,4.17e+05,0,0,0
DVS128GestureSimplify,PTB,24,False,False,False,4,4.08e+06,5.53e+05,7.05e+02,4.21e+03,3.49e+06,3.41e+04,2.61e+07,9.02e+04,7.78e+04,1.54e+05,2.57e+07,1.04e+05,0,0,0
DVS128GestureSimplify,PTB,24,False,False,False,5,3.51e+05,1.47e+05,1.76e+04,6.58e+01,1.84e+05,1.52e+03,2.65e+07,2.57e+06,1.47e+07,1.71e+04,9.17e+06,1.64e+03,0,0,0
DVS128GestureSimplify,PTB,24,False,False,False,6,6.64e+03,2.29e+03,7.26e+01,1.41e+00,3.16e+03,1.12e+03,2.18e+04,6.32e+02,2.57e+03,2.29e+01,1.86e+04,4.28e+01,0,0,0
IMAGENET,ComPASS,0,True,False,True,1,1.86e+07,1.78e+07,1.95e+02,3.22e+03,6.46e+05,1.61e+05,2.88e+08,1.77e+06,1.06e+04,4.71e+05,2.85e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,0,True,False,True,2,8.80e+06,7.96e+06,8.72e+01,3.22e+03,6.81e+05,1.61e+05,1.61e+08,7.93e+05,4.73e+03,4.71e+05,1.60e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,0,True,False,True,3,1.94e+07,1.85e+07,2.02e+02,3.22e+03,7.30e+05,1.61e+05,3.33e+08,1.84e+06,1.10e+04,4.71e+05,3.30e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,0,True,False,True,4,1.12e+07,1.03e+07,1.13e+02,3.22e+03,6.87e+05,1.61e+05,2.25e+08,1.03e+06,6.12e+03,4.71e+05,2.23e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,0,True,False,True,5,5.63e+06,5.20e+06,3.58e+02,1.61e+03,3.45e+05,8.06e+04,1.79e+08,4.76e+05,2.07e+04,2.36e+05,1.78e+08,3.19e+05,0,0,0
IMAGENET,ComPASS,0,True,False,True,6,8.57e+06,7.22e+06,2.54e+02,6.45e+03,1.26e+06,8.06e+04,1.63e+08,3.39e+05,2.81e+04,4.71e+05,1.62e+08,3.19e+05,0,0,0
IMAGENET,ComPASS,0,True,False,True,7,1.67e+07,1.53e+07,5.36e+02,6.45e+03,1.30e+06,8.06e+04,2.95e+08,7.17e+05,5.93e+04,4.71e+05,2.94e+08,3.19e+05,0,0,0
IMAGENET,ComPASS,0,True,False,True,8,4.55e+06,3.35e+06,1.18e+02,6.45e+03,1.12e+06,8.06e+04,6.44e+07,1.57e+05,1.30e+04,4.71e+05,6.36e+07,3.19e+05,0,0,0
IMAGENET,ComPASS,0,True,False,True,9,1.99e+06,1.63e+06,7.61e+02,1.61e+03,3.29e+05,4.03e+04,1.21e+08,1.52e+05,8.75e+04,2.36e+05,1.21e+08,1.60e+05,0,0,0
IMAGENET,ComPASS,0,True,False,True,10,3.41e+06,2.22e+06,5.73e+02,6.45e+03,1.16e+06,4.03e+04,8.37e+07,1.26e+05,1.32e+05,4.71e+05,8.36e+07,1.60e+05,0,0,0
IMAGENET,ComPASS,0,True,False,True,11,6.33e+06,5.08e+06,1.31e+03,6.45e+03,1.22e+06,4.03e+04,1.92e+08,2.87e+05,3.01e+05,4.71e+05,1.92e+08,1.60e+05,0,0,0
IMAGENET,ComPASS,0,True,False,True,12,2.98e+06,1.94e+06,5.01e+02,6.45e+03,1.01e+06,4.03e+04,6.70e+07,1.10e+05,1.15e+05,4.71e+05,6.71e+07,1.60e+05,0,0,0
IMAGENET,ComPASS,0,True,False,True,13,9.29e+05,6.26e+05,2.19e+03,1.61e+03,3.05e+05,2.02e+04,8.56e+07,1.41e+05,5.13e+05,2.36e+05,8.58e+07,7.98e+04,0,0,0
IMAGENET,ComPASS,0,True,False,True,14,8.06e+05,3.91e+05,1.50e+03,3.22e+03,4.69e+05,2.02e+04,4.13e+07,1.58e+05,7.03e+05,4.71e+05,4.72e+07,7.98e+04,0,0,0
IMAGENET,ComPASS,0,True,False,True,15,1.07e+06,5.28e+05,2.02e+03,3.22e+03,5.93e+05,2.02e+04,6.98e+07,2.13e+05,9.50e+05,4.71e+05,7.50e+07,7.98e+04,0,0,0
IMAGENET,ComPASS,0,True,False,True,16,6.54e+05,2.02e+05,2.23e+03,3.22e+03,4.97e+05,2.24e+04,6.50e+07,1.96e+05,1.05e+06,4.71e+05,6.99e+07,7.98e+04,0,0,0
IMAGENET,ComPASS,100,False,False,False,1,1.92e+07,1.86e+07,2.04e+02,3.22e+03,4.37e+05,1.61e+05,1.84e+08,1.86e+06,1.11e+04,4.71e+05,1.78e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,100,False,False,False,2,1.94e+07,1.86e+07,2.04e+02,3.22e+03,6.46e+05,1.61e+05,1.58e+08,1.86e+06,1.11e+04,4.71e+05,1.53e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,100,False,False,False,3,1.93e+07,1.86e+07,2.04e+02,3.22e+03,5.16e+05,1.61e+05,2.23e+08,1.86e+06,1.11e+04,4.71e+05,2.18e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,100,False,False,False,4,1.95e+07,1.86e+07,2.04e+02,3.22e+03,6.66e+05,1.61e+05,2.24e+08,1.86e+06,1.11e+04,4.71e+05,2.18e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,100,False,False,False,5,5.40e+06,5.13e+06,3.52e+02,1.61e+03,1.90e+05,8.06e+04,9.30e+07,4.69e+05,2.04e+04,2.36e+05,9.13e+07,3.19e+05,0,0,0
IMAGENET,ComPASS,100,False,False,False,6,2.12e+07,2.01e+07,7.05e+02,6.45e+03,9.99e+05,8.06e+04,1.35e+08,9.42e+05,7.80e+04,4.71e+05,1.32e+08,3.19e+05,0,0,0
IMAGENET,ComPASS,100,False,False,False,7,2.05e+07,2.01e+07,7.05e+02,6.45e+03,3.57e+05,8.06e+04,8.27e+07,9.42e+05,7.80e+04,4.71e+05,7.96e+07,3.19e+05,0,0,0
IMAGENET,ComPASS,100,False,False,False,8,2.09e+07,2.01e+07,7.05e+02,6.45e+03,7.50e+05,8.06e+04,4.89e+07,9.42e+05,7.80e+04,4.71e+05,4.58e+07,3.19e+05,0,0,0
IMAGENET,ComPASS,100,False,False,False,9,2.92e+06,2.77e+06,1.30e+03,1.61e+03,1.08e+05,4.03e+04,3.89e+07,2.59e+05,1.49e+05,2.36e+05,3.75e+07,1.60e+05,0,0,0
IMAGENET,ComPASS,100,False,False,False,10,1.09e+07,1.01e+07,2.59e+03,6.45e+03,7.50e+05,4.03e+04,5.50e+07,5.69e+05,5.96e+05,4.71e+05,5.19e+07,1.60e+05,0,0,0
IMAGENET,ComPASS,100,False,False,False,11,1.05e+07,1.01e+07,2.59e+03,6.45e+03,4.24e+05,4.03e+04,7.24e+07,5.69e+05,5.96e+05,4.71e+05,6.93e+07,1.60e+05,0,0,0
IMAGENET,ComPASS,100,False,False,False,12,1.08e+07,1.01e+07,2.59e+03,6.45e+03,6.65e+05,4.03e+04,4.74e+07,5.69e+05,5.96e+05,4.71e+05,4.44e+07,1.60e+05,0,0,0
IMAGENET,ComPASS,100,False,False,False,13,1.55e+06,1.42e+06,4.96e+03,1.61e+03,1.01e+05,2.02e+04,2.74e+07,3.20e+05,1.16e+06,2.36e+05,2.50e+07,7.98e+04,0,0,0
IMAGENET,ComPASS,100,False,False,False,14,2.82e+06,2.59e+06,9.93e+03,3.22e+03,2.00e+05,2.02e+04,2.88e+07,1.05e+06,4.66e+06,4.71e+05,2.13e+07,7.98e+04,0,0,0
IMAGENET,ComPASS,100,False,False,False,15,2.85e+06,2.59e+06,9.93e+03,3.22e+03,2.27e+05,2.02e+04,3.70e+07,1.05e+06,4.66e+06,4.71e+05,2.95e+07,7.98e+04,0,0,0
IMAGENET,ComPASS,100,False,False,False,16,1.43e+06,8.97e+05,9.93e+03,3.22e+03,4.94e+05,2.24e+04,8.00e+07,8.72e+05,4.66e+06,4.71e+05,7.27e+07,7.98e+04,0,0,0
DVS128GestureSimplify,ComPASS,8,False,False,False,1,5.24e+07,4.93e+07,9.50e+00,3.37e+04,9.08e+05,2.13e+06,2.77e+07,1.32e+05,9.18e+01,2.73e+05,1.99e+07,6.67e+06,0,0,0
DVS128GestureSimplify,ComPASS,8,False,False,False,2,8.01e+06,4.39e+06,7.05e+02,3.37e+04,3.05e+06,5.32e+05,4.30e+08,1.24e+06,7.80e+04,2.46e+06,4.18e+08,1.67e+06,0,0,0
DVS128GestureSimplify,ComPASS,8,False,False,False,3,3.73e+06,2.20e+06,7.05e+02,1.68e+04,1.38e+06,1.33e+05,7.84e+07,3.19e+05,7.80e+04,6.15e+05,7.54e+07,4.17e+05,0,0,0
DVS128GestureSimplify,ComPASS,8,False,False,False,4,1.03e+06,5.53e+05,7.05e+02,4.21e+03,4.37e+05,3.41e+04,1.96e+07,9.02e+04,7.80e+04,1.54e+05,1.88e+07,1.04e+05,0,0,0
DVS128GestureSimplify,ComPASS,8,False,False,False,5,1.83e+05,1.47e+05,1.76e+04,6.58e+01,1.67e+04,1.52e+03,2.52e+07,2.57e+06,1.47e+07,1.71e+04,7.80e+06,1.64e+03,0,0,0
DVS128GestureSimplify,ComPASS,8,False,False,False,6,3.71e+03,2.29e+03,7.26e+01,1.41e+00,2.34e+02,1.12e+03,1.24e+04,6.32e+02,2.57e+03,2.29e+01,8.45e+03,4.28e+01,0,0,0
DVS128GestureSimplify,ComPASS,100,False,False,False,1,5.22e+07,4.93e+07,9.50e+00,3.37e+04,7.23e+05,2.13e+06,2.40e+07,1.32e+05,9.18e+01,2.73e+05,1.62e+07,6.67e+06,0,0,0
DVS128GestureSimplify,ComPASS,100,False,False,False,2,7.10e+06,4.39e+06,7.05e+02,3.37e+04,2.15e+06,5.32e+05,3.00e+08,1.24e+06,7.80e+04,2.46e+06,2.88e+08,1.67e+06,0,0,0
DVS128GestureSimplify,ComPASS,100,False,False,False,3,3.06e+06,2.20e+06,7.05e+02,1.68e+04,7.16e+05,1.33e+05,4.37e+07,3.19e+05,7.80e+04,6.15e+05,4.07e+07,4.17e+05,0,0,0
DVS128GestureSimplify,ComPASS,100,False,False,False,4,9.66e+05,5.53e+05,7.05e+02,4.21e+03,3.74e+05,3.41e+04,1.64e+07,9.02e+04,7.80e+04,1.54e+05,1.55e+07,1.04e+05,0,0,0
DVS128GestureSimplify,ComPASS,100,False,False,False,5,1.82e+05,1.47e+05,1.76e+04,6.58e+01,1.57e+04,1.52e+03,2.41e+07,2.57e+06,1.47e+07,1.71e+04,6.74e+06,1.64e+03,0,0,0
DVS128GestureSimplify,ComPASS,100,False,False,False,6,3.63e+03,2.29e+03,7.26e+01,1.41e+00,1.49e+02,1.12e+03,7.12e+03,6.32e+02,2.57e+03,2.29e+01,3.14e+03,4.28e+01,0,0,0
CIFAR10DVS,ComPASS,48,False,False,False,1,5.37e+07,4.93e+07,9.50e+00,3.37e+04,2.28e+06,2.13e+06,5.69e+07,1.32e+05,9.18e+01,2.73e+05,4.91e+07,6.67e+06,0,0,0
CIFAR10DVS,ComPASS,48,False,False,False,2,8.81e+06,4.39e+06,7.05e+02,3.37e+04,3.86e+06,5.32e+05,6.27e+08,1.24e+06,7.80e+04,2.46e+06,6.15e+08,1.67e+06,0,0,0
CIFAR10DVS,ComPASS,48,False,False,False,3,3.60e+06,2.20e+06,7.05e+02,1.68e+04,1.25e+06,1.33e+05,1.40e+08,3.19e+05,7.80e+04,6.15e+05,1.37e+08,4.17e+05,0,0,0
CIFAR10DVS,ComPASS,48,False,False,False,4,8.77e+05,5.53e+05,7.05e+02,4.21e+03,2.85e+05,3.41e+04,2.73e+07,9.02e+04,7.80e+04,1.54e+05,2.65e+07,1.04e+05,0,0,0
CIFAR10DVS,ComPASS,48,False,False,False,5,1.79e+05,1.47e+05,1.76e+04,6.58e+01,1.21e+04,1.52e+03,2.25e+07,2.57e+06,1.47e+07,1.71e+04,5.11e+06,1.64e+03,0,0,0
CIFAR10DVS,ComPASS,48,False,False,False,6,3.59e+03,2.26e+03,7.06e+01,1.29e+00,1.42e+02,1.12e+03,5.95e+03,6.13e+02,2.47e+03,2.09e+01,2.11e+03,3.87e+01,0,0,0
IMAGENET,ComPASS,64,False,False,False,1,1.92e+07,1.86e+07,2.04e+02,3.22e+03,4.31e+05,1.61e+05,1.81e+08,1.86e+06,1.11e+04,4.71e+05,1.75e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,64,False,False,False,2,1.95e+07,1.86e+07,2.04e+02,3.22e+03,6.61e+05,1.61e+05,1.63e+08,1.86e+06,1.11e+04,4.71e+05,1.58e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,64,False,False,False,3,1.93e+07,1.86e+07,2.04e+02,3.22e+03,5.24e+05,1.61e+05,2.30e+08,1.86e+06,1.11e+04,4.71e+05,2.24e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,64,False,False,False,4,1.95e+07,1.86e+07,2.04e+02,3.22e+03,6.76e+05,1.61e+05,2.29e+08,1.86e+06,1.11e+04,4.71e+05,2.24e+08,6.39e+05,0,0,0
IMAGENET,ComPASS,64,False,False,False,5,5.40e+06,5.13e+06,3.52e+02,1.61e+03,1.94e+05,8.06e+04,9.59e+07,4.69e+05,2.04e+04,2.36e+05,9.42e+07,3.19e+05,0,0,0
IMAGENET,ComPASS,64,False,False,False,6,2.12e+07,2.01e+07,7.05e+02,6.45e+03,1.02e+06,8.06e+04,1.39e+08,9.42e+05,7.80e+04,4.71e+05,1.36e+08,3.19e+05,0,0,0
IMAGENET,ComPASS,64,False,False,False,7,2.05e+07,2.01e+07,7.05e+02,6.45e+03,3.93e+05,8.06e+04,9.00e+07,9.42e+05,7.80e+04,4.71e+05,8.69e+07,3.19e+05,0,0,0
IMAGENET,ComPASS,64,False,False,False,8,2.09e+07,2.01e+07,7.05e+02,6.45e+03,7.60e+05,8.06e+04,5.12e+07,9.42e+05,7.80e+04,4.71e+05,4.82e+07,3.19e+05,0,0,0
IMAGENET,ComPASS,64,False,False,False,9,2.93e+06,2.77e+06,1.30e+03,1.61e+03,1.17e+05,4.03e+04,4.27e+07,2.59e+05,1.49e+05,2.36e+05,4.13e+07,1.60e+05,0,0,0
IMAGENET,ComPASS,64,False,False,False,10,1.09e+07,1.01e+07,2.59e+03,6.45e+03,7.63e+05,4.03e+04,5.78e+07,5.69e+05,5.96e+05,4.71e+05,5.48e+07,1.60e+05,0,0,0
IMAGENET,ComPASS,64,False,False,False,11,1.05e+07,1.01e+07,2.59e+03,6.45e+03,4.39e+05,4.03e+04,7.49e+07,5.69e+05,5.96e+05,4.71e+05,7.19e+07,1.60e+05,0,0,0
IMAGENET,ComPASS,64,False,False,False,12,1.08e+07,1.01e+07,2.59e+03,6.45e+03,6.72e+05,4.03e+04,4.89e+07,5.69e+05,5.96e+05,4.71e+05,4.59e+07,1.60e+05,0,0,0
IMAGENET,ComPASS,64,False,False,False,13,1.55e+06,1.42e+06,4.96e+03,1.61e+03,1.05e+05,2.02e+04,2.94e+07,3.20e+05,1.16e+06,2.36e+05,2.69e+07,7.98e+04,0,0,0
IMAGENET,ComPASS,64,False,False,False,14,2.82e+06,2.59e+06,9.93e+03,3.22e+03,1.97e+05,2.02e+04,2.93e+07,1.05e+06,4.66e+06,4.71e+05,2.18e+07,7.98e+04,0,0,0
IMAGENET,ComPASS,64,False,False,False,15,2.86e+06,2.59e+06,9.93e+03,3.22e+03,2.34e+05,2.02e+04,3.96e+07,1.05e+06,4.66e+06,4.71e+05,3.21e+07,7.98e+04,0,0,0
IMAGENET,ComPASS,64,False,False,False,16,1.33e+06,8.97e+05,9.93e+03,3.22e+03,3.96e+05,2.24e+04,6.66e+07,8.72e+05,4.66e+06,4.71e+05,5.92e+07,7.98e+04,0,0,0
CIFAR10DVS,PTB,48,False,False,False,1,8.00e+07,4.93e+07,9.50e+00,3.37e+04,2.86e+07,2.13e+06,7.18e+07,1.32e+05,9.16e+01,2.73e+05,6.47e+07,6.67e+06,0,0,0
CIFAR10DVS,PTB,48,False,False,False,2,1.00e+08,4.39e+06,7.05e+02,3.37e+04,9.55e+07,5.32e+05,9.52e+08,1.24e+06,7.78e+04,2.46e+06,9.47e+08,1.67e+06,0,0,0
CIFAR10DVS,PTB,48,False,False,False,3,3.59e+07,2.20e+06,7.05e+02,1.68e+04,3.35e+07,1.33e+05,3.08e+08,3.19e+05,7.78e+04,6.15e+05,3.07e+08,4.17e+05,0,0,0
CIFAR10DVS,PTB,48,False,False,False,4,9.30e+06,5.53e+05,7.05e+02,4.21e+03,8.70e+06,3.41e+04,6.71e+07,9.02e+04,7.78e+04,1.54e+05,6.66e+07,1.04e+05,0,0,0
CIFAR10DVS,PTB,48,False,False,False,5,3.78e+05,1.47e+05,1.76e+04,6.58e+01,2.11e+05,1.52e+03,2.62e+07,2.57e+06,1.47e+07,1.71e+04,8.90e+06,1.64e+03,0,0,0
CIFAR10DVS,PTB,48,False,False,False,6,5.93e+03,2.26e+03,7.06e+01,1.29e+00,2.48e+03,1.12e+03,1.75e+04,6.13e+02,2.46e+03,2.09e+01,1.43e+04,3.87e+01,0,0,0
CIFAR10DVS,ComPASS,100,False,False,False,1,5.38e+07,4.93e+07,9.50e+00,3.37e+04,2.38e+06,2.13e+06,5.80e+07,1.32e+05,9.18e+01,2.73e+05,5.02e+07,6.67e+06,0,0,0
