dataset,mode,TW,dyn_stw,speculative,csr_compress,Chip Area,Chip ADC Area,Chip IC Area,Chip Accum Area,Chip Other Area,Chip Popcnt Area,Chip Array Area,Pipelined Clock Latency,Total Read Latency,Total Buffer Latency,Total IC Latency,Total Core Latency ADC,Total Core Latency Accum,Total Core Latency Other,Total Array Read Latency,Total Array Latency ADC,Total Array Latency Accum,Total Array Latency Other,Total Read Latency Buffer,Total Read Latency IC,Total Read Dynamic Energy,Total Buffer Dynamic Energy,Total IC Dynamic Energy,Total Core Energy ADC,Total Core Energy Accum,Total Core Energy Other,Total Core Energy Popcnt,Total Leakage Energy,Total Array Read Dynamic Energy,Total Array Energy ADC,Total Array Energy Accum,Total Array Energy Other,Total Array Energy Popcnt,Total Read Dynamic Energy Buffer,Total Read Dynamic Energy IC,Energy Efficiency TOPS/W,Throughput TOPS,Throughput FPS,Compute Efficiency TOPS/mm\^2
CIFAR10DVS,ComPASS,1,False,False,False,3.69e+07,1.53e+06,3.46e+06,5.71e+06,8.24e+06,1.67e+05,1.51e+07,5.46e+07,7.31e+07,5.66e+07,1.98e+04,8.85e+04,1.35e+07,2.83e+06,1.36e+07,8.85e+04,1.35e+07,0.00e+00,5.67e+07,3.97e+04,1.43e+09,4.35e+06,1.50e+07,3.52e+06,1.39e+09,8.87e+06,0.00e+00,1.93e+09,1.40e+09,3.52e+06,1.39e+09,0.00e+00,0.00e+00,9.20e+06,3.78e+07,40.98443581334604,3.055220802420531,18.301933022846026,0.08275981068352878
CIFAR10DVS,PTB,1,False,False,False,3.67e+07,1.53e+06,3.45e+06,5.71e+06,8.24e+06,0.00e+00,1.51e+07,5.21e+07,6.32e+07,5.66e+07,1.98e+04,8.85e+04,3.67e+06,2.83e+06,3.69e+06,8.85e+04,3.60e+06,0.00e+00,5.67e+07,3.97e+04,1.43e+09,4.35e+06,1.49e+07,3.52e+06,1.39e+09,8.87e+06,0.00e+00,1.84e+09,1.40e+09,3.52e+06,1.39e+09,0.00e+00,0.00e+00,9.20e+06,3.78e+07,42.12617869769917,3.2056802984535704,19.20324255074208,0.08725380463768091
IMAGENET,PTB,8,False,False,False,1.45e+08,7.02e+06,5.60e+06,2.63e+07,2.40e+07,0.00e+00,6.93e+07,2.40e+07,2.07e+08,1.80e+08,4.71e+04,6.61e+04,2.54e+07,1.21e+06,2.50e+07,6.61e+04,2.49e+07,0.00e+00,1.81e+08,9.42e+04,2.46e+09,1.60e+07,1.73e+07,6.83e+06,2.41e+09,4.79e+06,0.00e+00,2.01e+09,2.42e+09,6.83e+06,2.41e+09,0.00e+00,0.00e+00,2.16e+07,4.38e+07,80.87609585513904,18.305982827658152,41.67071406924798,0.12632468741848282
CIFAR10DVS,ComPASS,64,False,False,False,3.69e+07,1.53e+06,3.46e+06,5.71e+06,8.24e+06,1.67e+05,1.51e+07,5.37e+07,6.71e+07,5.66e+07,1.98e+04,8.85e+04,7.61e+06,2.83e+06,7.63e+06,8.85e+04,7.54e+06,0.00e+00,5.67e+07,3.97e+04,8.66e+08,4.35e+06,1.50e+07,3.52e+06,8.25e+08,8.87e+06,9.33e+06,1.90e+09,8.36e+08,3.52e+06,8.23e+08,0.00e+00,9.33e+06,9.20e+06,3.78e+07,49.80873253108687,3.1063125593928347,18.607992052486633,0.08414378402226971
CIFAR10DVS,ComPASS,0,True,False,True,3.69e+07,1.53e+06,3.46e+06,5.71e+06,8.24e+06,1.67e+05,1.51e+07,3.09e+07,4.51e+07,2.87e+07,6.98e+03,8.85e+04,1.35e+07,2.83e+06,1.36e+07,8.85e+04,1.35e+07,0.00e+00,2.88e+07,1.40e+04,1.40e+09,1.67e+06,5.15e+06,3.52e+06,1.40e+09,8.87e+06,9.33e+06,1.09e+09,1.40e+09,3.52e+06,1.40e+09,0.00e+00,9.33e+06,3.34e+06,1.30e+07,54.97883435005905,5.405840467316227,32.383037614377365,0.14643338815512225
CIFAR10DVS,PTB,24,False,False,False,3.67e+07,1.53e+06,3.45e+06,5.71e+06,8.24e+06,0.00e+00,1.51e+07,6.58e+07,1.43e+08,5.66e+07,1.98e+04,8.85e+04,8.36e+07,2.83e+06,8.36e+07,8.85e+04,8.35e+07,0.00e+00,5.67e+07,3.97e+04,1.43e+09,4.35e+06,1.49e+07,3.52e+06,1.39e+09,8.87e+06,0.00e+00,2.32e+09,1.40e+09,3.52e+06,1.39e+09,0.00e+00,0.00e+00,9.20e+06,3.78e+07,36.66304997499315,2.5373138011587115,15.199473376837052,0.069061872083
IMAGENET,ComPASS,32,False,False,False,1.46e+08,7.02e+06,5.61e+06,2.63e+07,2.40e+07,7.67e+05,6.93e+07,2.12e+07,1.89e+08,1.80e+08,4.71e+04,6.61e+04,7.75e+06,1.21e+06,7.37e+06,6.61e+04,7.31e+06,0.00e+00,1.81e+08,9.42e+04,1.62e+09,1.60e+07,1.74e+07,6.83e+06,1.55e+09,4.79e+06,2.31e+07,1.78e+09,1.58e+09,6.83e+06,1.55e+09,0.00e+00,2.31e+07,2.16e+07,4.39e+07,106.54566044824469,20.703605196817094,47.12852734984945,0.14210156396881152
CIFAR10DVS,ComPASS,32,False,False,False,3.69e+07,1.53e+06,3.46e+06,5.71e+06,8.24e+06,1.67e+05,1.51e+07,5.37e+07,6.71e+07,5.66e+07,1.98e+04,8.85e+04,7.61e+06,2.83e+06,7.63e+06,8.85e+04,7.54e+06,0.00e+00,5.67e+07,3.97e+04,8.78e+08,4.35e+06,1.50e+07,3.52e+06,8.37e+08,8.87e+06,9.33e+06,1.89e+09,8.48e+08,3.52e+06,8.35e+08,0.00e+00,9.33e+06,9.20e+06,3.78e+07,49.6158827646924,3.10901305762177,18.62416906256562,0.0842169351090916
DVS128GestureSimplify,Strawman,0,False,False,False,3.67e+07,1.53e+06,3.45e+06,5.71e+06,8.24e+06,0.00e+00,1.51e+07,5.31e+07,7.59e+07,5.66e+07,1.98e+04,5.47e+06,1.10e+07,2.83e+06,1.64e+07,5.47e+06,1.09e+07,0.00e+00,5.67e+07,3.97e+04,1.11e+09,4.35e+06,1.49e+07,1.18e+08,9.60e+08,8.87e+06,0.00e+00,1.87e+09,1.08e+09,1.18e+08,9.58e+08,0.00e+00,0.00e+00,9.20e+06,3.78e+07,46.16572081512097,3.145065301529911,18.840124139918036,0.08560395543024686
CIFAR10DVS,PTB,100,False,False,False,3.67e+07,1.53e+06,3.45e+06,5.71e+06,8.24e+06,0.00e+00,1.51e+07,2.12e+08,4.20e+08,5.66e+07,1.98e+04,8.85e+04,3.60e+08,2.83e+06,3.60e+08,8.85e+04,3.60e+08,0.00e+00,5.67e+07,3.97e+04,1.43e+09,4.35e+06,1.49e+07,3.52e+06,1.39e+09,8.87e+06,0.00e+00,7.47e+09,1.40e+09,3.52e+06,1.39e+09,0.00e+00,0.00e+00,9.20e+06,3.78e+07,15.411668304860648,0.788749370528347,4.7249083077023375,0.02146857361832801
DVS128GestureSimplify,PTB,64,False,False,False,3.67e+07,1.53e+06,3.45e+06,5.71e+06,8.24e+06,0.00e+00,1.51e+07,1.28e+08,2.63e+08,5.66e+07,1.98e+04,8.85e+04,2.04e+08,2.83e+06,2.04e+08,8.85e+04,2.04e+08,0.00e+00,5.67e+07,3.97e+04,9.91e+08,4.35e+06,1.49e+07,3.52e+06,9.60e+08,8.87e+06,0.00e+00,4.51e+09,9.61e+08,3.52e+06,9.58e+08,0.00e+00,0.00e+00,9.20e+06,3.78e+07,24.928435161788492,1.3054103948855276,7.81989928197008,0.035531310973925374
DVS128GestureSimplify,ComPASS,0,True,False,True,3.69e+07,1.53e+06,3.46e+06,5.71e+06,8.24e+06,1.67e+05,1.51e+07,1.23e+07,2.49e+07,1.10e+07,8.16e+03,8.85e+04,1.10e+07,2.83e+06,1.10e+07,8.85e+04,1.09e+07,0.00e+00,1.11e+07,1.63e+04,9.74e+08,1.61e+06,6.42e+06,3.52e+06,9.69e+08,8.87e+06,9.33e+06,4.34e+08,9.70e+08,3.52e+06,9.67e+08,0.00e+00,9.33e+06,3.69e+06,1.62e+07,97.67957645675298,13.584364596129271,81.37545354892498,0.3679732218833411
DVS128GestureSimplify,ComPASS,64,False,False,False,3.69e+07,1.53e+06,3.46e+06,5.71e+06,8.24e+06,1.67e+05,1.51e+07,5.22e+07,6.35e+07,5.66e+07,1.98e+04,8.85e+04,3.94e+06,2.83e+06,3.95e+06,8.85e+04,3.87e+06,0.00e+00,5.67e+07,3.97e+04,4.08e+08,4.35e+06,1.50e+07,3.52e+06,3.67e+08,8.87e+06,9.33e+06,1.84e+09,3.78e+08,3.52e+06,3.65e+08,0.00e+00,9.33e+06,9.20e+06,3.78e+07,61.22654770610236,3.1984138132561615,19.159701791648672,0.08663862247303103
DVS128GestureSimplify,ComPASS,0,True,False,False,3.69e+07,1.53e+06,3.46e+06,5.71e+06,8.24e+06,1.67e+05,1.51e+07,5.26e+07,7.05e+07,5.66e+07,1.98e+04,8.85e+04,1.10e+07,2.83e+06,1.10e+07,8.85e+04,1.09e+07,0.00e+00,5.67e+07,3.97e+04,1.00e+09,4.35e+06,1.50e+07,3.52e+06,9.69e+08,8.87e+06,9.33e+06,1.85e+09,9.70e+08,3.52e+06,9.67e+08,0.00e+00,9.33e+06,9.20e+06,3.78e+07,48.17210160533732,3.176063789044713,19.025816739891866,0.086033205093362
CIFAR10DVS,Strawman,0,False,False,False,3.67e+07,1.53e+06,3.45e+06,5.71e+06,8.24e+06,0.00e+00,1.51e+07,5.62e+07,7.97e+07,5.66e+07,1.98e+04,6.74e+06,1.35e+07,2.83e+06,2.02e+07,6.74e+06,1.35e+07,0.00e+00,5.67e+07,3.97e+04,1.59e+09,4.35e+06,1.49e+07,1.72e+08,1.39e+09,8.87e+06,0.00e+00,1.98e+09,1.56e+09,1.72e+08,1.39e+09,0.00e+00,0.00e+00,9.20e+06,3.78e+07,38.418497472638016,2.9705455548904194,17.794696129276424,0.08085378995490436
DVS128GestureSimplify,PTB,100,False,False,False,3.67e+07,1.53e+06,3.45e+06,5.71e+06,8.24e+06,0.00e+00,1.51e+07,2.39e+08,4.48e+08,5.66e+07,1.98e+04,8.85e+04,3.88e+08,2.83e+06,3.88e+08,8.85e+04,3.88e+08,0.00e+00,5.67e+07,3.97e+04,9.91e+08,4.35e+06,1.49e+07,3.52e+06,9.60e+08,8.87e+06,0.00e+00,8.44e+09,9.61e+08,3.52e+06,9.58e+08,0.00e+00,0.00e+00,9.20e+06,3.78e+07,14.528393953599146,0.6978072000910823,4.180127601499845,0.01899326428180819
IMAGENET,PTB,32,False,False,False,1.45e+08,7.02e+06,5.60e+06,2.63e+07,2.40e+07,0.00e+00,6.93e+07,3.52e+07,2.80e+08,1.80e+08,4.71e+04,6.61e+04,9.86e+07,1.21e+06,9.82e+07,6.61e+04,9.82e+07,0.00e+00,1.81e+08,9.42e+04,2.46e+09,1.60e+07,1.73e+07,6.83e+06,2.41e+09,4.79e+06,0.00e+00,2.95e+09,2.42e+09,6.83e+06,2.41e+09,0.00e+00,0.00e+00,2.16e+07,4.38e+07,66.7409673447503,12.462515132236598,28.36897147496905,0.08600048100937176
CIFAR10DVS,PTB,8,False,False,False,3.67e+07,1.53e+06,3.45e+06,5.71e+06,8.24e+06,0.00e+00,1.51e+07,5.63e+07,8.78e+07,5.66e+07,1.98e+04,8.85e+04,2.83e+07,2.83e+06,2.83e+07,8.85e+04,2.82e+07,0.00e+00,5.67e+07,3.97e+04,1.43e+09,4.35e+06,1.49e+07,3.52e+06,1.39e+09,8.87e+06,0.00e+00,1.99e+09,1.40e+09,3.52e+06,1.39e+09,0.00e+00,0.00e+00,9.20e+06,3.78e+07,40.277065410163964,2.9650422827010483,17.761729438640984,0.08070399914865616
IMAGENET,ComPASS,24,False,False,False,1.46e+08,7.02e+06,5.61e+06,2.63e+07,2.40e+07,7.67e+05,6.93e+07,2.12e+07,1.90e+08,1.80e+08,4.71e+04,6.61e+04,7.93e+06,1.21e+06,7.55e+06,6.61e+04,7.49e+06,0.00e+00,1.81e+08,9.42e+04,1.66e+09,1.60e+07,1.74e+07,6.83e+06,1.60e+09,4.79e+06,2.31e+07,1.78e+09,1.62e+09,6.83e+06,1.59e+09,0.00e+00,2.31e+07,2.16e+07,4.39e+07,105.14197705330595,20.703223096446273,47.12765755796512,0.1420989413791818
DVS128GestureSimplify,PTB,32,False,False,False,3.67e+07,1.53e+06,3.45e+06,5.71e+06,8.24e+06,0.00e+00,1.51e+07,7.70e+07,1.79e+08,5.66e+07,1.98e+04,8.85e+04,1.19e+08,2.83e+06,1.19e+08,8.85e+04,1.19e+08,0.00e+00,5.67e+07,3.97e+04,9.91e+08,4.35e+06,1.49e+07,3.52e+06,9.60e+08,8.87e+06,0.00e+00,2.72e+09,9.61e+08,3.52e+06,9.58e+08,0.00e+00,0.00e+00,9.20e+06,3.78e+07,37.055601393930885,2.1687514614266505,12.991637007355843,0.059030158563937875
DVS128GestureSimplify,PTB,8,False,False,False,3.67e+07,1.53e+06,3.45e+06,5.71e+06,8.24e+06,0.00e+00,1.51e+07,5.61e+07,8.99e+07,5.66e+07,1.98e+04,8.85e+04,3.04e+07,2.83e+06,3.04e+07,8.85e+04,3.03e+07,0.00e+00,5.67e+07,3.97e+04,9.91e+08,4.35e+06,1.49e+07,3.52e+06,9.60e+08,8.87e+06,0.00e+00,1.98e+09,9.61e+08,3.52e+06,9.58e+08,0.00e+00,0.00e+00,9.20e+06,3.78e+07,46.271502941273354,2.974015914108116,17.815473970805193,0.08094824792232848
IMAGENET,ComPASS,0,True,True,False,1.46e+08,7.02e+06,5.61e+06,2.63e+07,2.40e+07,7.67e+05,6.93e+07,2.10e+07,1.88e+08,1.80e+08,4.71e+04,6.61e+04,6.47e+06,1.21e+06,6.09e+06,6.61e+04,6.02e+06,0.00e+00,1.81e+08,9.42e+04,1.41e+09,1.60e+07,1.74e+07,6.83e+06,1.37e+09,4.79e+06,2.31e+07,1.76e+09,1.37e+09,6.83e+06,1.37e+09,0.00e+00,2.31e+07,2.16e+07,4.39e+07,114.05401487064039,20.90274353584445,47.581834711926525,0.14346837275177118
CIFAR10DVS,PTB,64,False,False,False,3.67e+07,1.53e+06,3.45e+06,5.71e+06,8.24e+06,0.00e+00,1.51e+07,1.16e+08,2.53e+08,5.66e+07,1.98e+04,8.85e+04,1.94e+08,2.83e+06,1.94e+08,8.85e+04,1.93e+08,0.00e+00,5.67e+07,3.97e+04,1.43e+09,4.35e+06,1.49e+07,3.52e+06,1.39e+09,8.87e+06,0.00e+00,4.08e+09,1.40e+09,3.52e+06,1.39e+09,0.00e+00,0.00e+00,9.20e+06,3.78e+07,24.91261649862992,1.4430514499299179,8.64442627656047,0.03927769383461209
DVS128GestureSimplify,ComPASS,24,False,False,False,3.69e+07,1.53e+06,3.46e+06,5.71e+06,8.24e+06,1.67e+05,1.51e+07,5.23e+07,6.39e+07,5.66e+07,1.98e+04,8.85e+04,4.43e+06,2.83e+06,4.45e+06,8.85e+04,4.36e+06,0.00e+00,5.67e+07,3.97e+04,4.47e+08,4.35e+06,1.50e+07,3.52e+06,4.06e+08,8.87e+06,9.33e+06,1.84e+09,4.17e+08,3.52e+06,4.04e+08,0.00e+00,9.33e+06,9.20e+06,3.78e+07,60.11180979087419,3.194503332379327,19.136276540309535,0.08653269538036656
IMAGENET,Strawman,0,False,False,False,1.45e+08,7.02e+06,5.60e+06,2.63e+07,2.40e+07,0.00e+00,6.93e+07,2.21e+07,2.00e+08,1.80e+08,4.71e+04,5.95e+06,1.23e+07,1.21e+06,1.79e+07,5.95e+06,1.19e+07,0.00e+00,1.81e+08,9.42e+04,2.75e+09,1.60e+07,1.73e+07,2.97e+08,2.41e+09,4.79e+06,0.00e+00,1.85e+09,2.71e+09,2.97e+08,2.41e+09,0.00e+00,0.00e+00,2.16e+07,4.38e+07,78.5706399919871,19.88502890028999,45.26516611338484,0.13722126169272614
CIFAR10DVS,ComPASS,8,False,False,False,3.69e+07,1.53e+06,3.46e+06,5.71e+06,8.24e+06,1.67e+05,1.51e+07,5.36e+07,6.77e+07,5.66e+07,1.98e+04,8.85e+04,8.14e+06,2.83e+06,8.16e+06,8.85e+04,8.07e+06,0.00e+00,5.67e+07,3.97e+04,9.62e+08,4.35e+06,1.50e+07,3.52e+06,9.21e+08,8.87e+06,9.33e+06,1.89e+09,9.32e+08,3.52e+06,9.19e+08,0.00e+00,9.33e+06,9.20e+06,3.78e+07,48.18641008334247,3.1119849618905033,18.641971897906874,0.08429743804179457
DVS128GestureSimplify,ComPASS,16,False,False,False,3.69e+07,1.53e+06,3.46e+06,5.71e+06,8.24e+06,1.67e+05,1.51e+07,5.23e+07,6.43e+07,5.66e+07,1.98e+04,8.85e+04,4.78e+06,2.83e+06,4.80e+06,8.85e+04,4.71e+06,0.00e+00,5.67e+07,3.97e+04,4.88e+08,4.35e+06,1.50e+07,3.52e+06,4.47e+08,8.87e+06,9.33e+06,1.85e+09,4.57e+08,3.52e+06,4.45e+08,0.00e+00,9.33e+06,9.20e+06,3.78e+07,59.03654381967543,3.1926375994920835,19.125100098538834,0.08648215641427548
IMAGENET,PTB,64,False,False,False,1.45e+08,7.02e+06,5.60e+06,2.63e+07,2.40e+07,0.00e+00,6.93e+07,4.65e+07,3.53e+08,1.80e+08,4.71e+04,6.61e+04,1.72e+08,1.21e+06,1.71e+08,6.61e+04,1.71e+08,0.00e+00,1.81e+08,9.42e+04,2.46e+09,1.60e+07,1.73e+07,6.83e+06,2.41e+09,4.79e+06,0.00e+00,3.90e+09,2.42e+09,6.83e+06,2.41e+09,0.00e+00,0.00e+00,2.16e+07,4.38e+07,56.78708257658256,9.440292170630974,21.4893523869239,0.06514492932836799
IMAGENET,PTB,16,False,False,False,1.45e+08,7.02e+06,5.60e+06,2.63e+07,2.40e+07,0.00e+00,6.93e+07,2.77e+07,2.31e+08,1.80e+08,4.71e+04,6.61e+04,4.98e+07,1.21e+06,4.94e+07,6.61e+04,4.93e+07,0.00e+00,1.81e+08,9.42e+04,2.46e+09,1.60e+07,1.73e+07,6.83e+06,2.41e+09,4.79e+06,0.00e+00,2.33e+09,2.42e+09,6.83e+06,2.41e+09,0.00e+00,0.00e+00,2.16e+07,4.38e+07,75.54299027739937,15.83159206891296,36.03814952606081,0.10924957912779858
CIFAR10DVS,ComPASS,0,True,True,True,3.69e+07,1.53e+06,3.46e+06,5.71e+06,8.24e+06,1.67e+05,1.51e+07,2.94e+07,3.72e+07,2.87e+07,6.98e+03,8.85e+04,5.66e+06,2.83e+06,5.68e+06,8.85e+04,5.59e+06,0.00e+00,2.88e+07,1.40e+04,7.39e+08,1.67e+06,5.15e+06,3.52e+06,7.38e+08,8.87e+06,9.33e+06,1.04e+09,7.40e+08,3.52e+06,7.36e+08,0.00e+00,9.33e+06,3.34e+06,1.30e+07,77.30392081887769,5.684894830688529,34.05467923979656,0.15399241179911144
DVS128GestureSimplify,PTB,48,False,False,False,3.67e+07,1.53e+06,3.45e+06,5.71e+06,8.24e+06,0.00e+00,1.51e+07,1.13e+08,2.38e+08,5.66e+07,1.98e+04,8.85e+04,1.79e+08,2.83e+06,1.79e+08,8.85e+04,1.78e+08,0.00e+00,5.67e+07,3.97e+04,9.91e+08,4.35e+06,1.49e+07,3.52e+06,9.60e+08,8.87e+06,0.00e+00,3.98e+09,9.61e+08,3.52e+06,9.58e+08,0.00e+00,0.00e+00,9.20e+06,3.78e+07,27.616275000164883,1.4807074862680247,8.869994795537398,0.040302634606048215
DVS128GestureSimplify,ComPASS,32,False,False,False,3.69e+07,1.53e+06,3.46e+06,5.71e+06,8.24e+06,1.67e+05,1.51e+07,5.22e+07,6.37e+07,5.66e+07,1.98e+04,8.85e+04,4.18e+06,2.83e+06,4.20e+06,8.85e+04,4.11e+06,0.00e+00,5.67e+07,3.97e+04,4.30e+08,4.35e+06,1.50e+07,3.52e+06,3.89e+08,8.87e+06,9.33e+06,1.84e+09,4.00e+08,3.52e+06,3.87e+08,0.00e+00,9.33e+06,9.20e+06,3.78e+07,60.58959004992016,3.196306704332155,19.147079416626664,0.08658154511367874
DVS128GestureSimplify,PTB,1,False,False,False,3.67e+07,1.53e+06,3.45e+06,5.71e+06,8.24e+06,0.00e+00,1.51e+07,5.21e+07,6.35e+07,5.66e+07,1.98e+04,8.85e+04,3.95e+06,2.83e+06,3.97e+06,8.85e+04,3.88e+06,0.00e+00,5.67e+07,3.97e+04,9.91e+08,4.35e+06,1.49e+07,3.52e+06,9.60e+08,8.87e+06,0.00e+00,1.84e+09,9.61e+08,3.52e+06,9.58e+08,0.00e+00,0.00e+00,9.20e+06,3.78e+07,48.63841775072308,3.207011960036217,19.2112079249651,0.08729005046657153
